date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/11/03 14:54:26	sharonclaws	Captain_Handsome	Redstone Block	5.0	20.0	4	world	[15, 72, -41]
2018/11/24 18:23:34	Aewheros	Captain_Handsome	Redstone Block	5.0	320.0	64	world	[15, 72, -41]
2018/11/24 18:23:36	Aewheros	Captain_Handsome	Redstone Block	5.0	320.0	64	world	[15, 72, -41]
2018/11/24 18:23:38	Aewheros	Captain_Handsome	Redstone Block	5.0	320.0	64	world	[15, 72, -41]
2018/11/24 18:23:39	Aewheros	Captain_Handsome	Redstone Block	5.0	320.0	64	world	[15, 72, -41]
2018/11/24 18:23:40	Aewheros	Captain_Handsome	Redstone Block	5.0	320.0	64	world	[15, 72, -41]
2018/11/24 18:23:40	Aewheros	Captain_Handsome	Redstone Block	5.0	115.0	23	world	[15, 72, -41]
2018/12/02 00:29:20	freakdown	Remixster	Redstone Block	20.83328125	1333.33	64	world	[54, 79, 26]
2018/12/02 00:29:23	freakdown	Remixster	Redstone Block	20.83328125	1333.33	64	world	[54, 79, 26]
2018/12/02 00:29:24	freakdown	Remixster	Redstone Block	20.83328125	1333.33	64	world	[54, 79, 26]
2018/12/02 00:29:24	freakdown	Remixster	Redstone Block	20.83328125	1333.33	64	world	[54, 79, 26]
2018/12/07 22:13:19	freakdown	Remixster	Redstone Block	20.83328125	1333.33	64	world	[54, 79, 26]
2018/12/12 15:23:35	K9us	Captain_Handsome	Redstone Block	5.0	20.0	4	world	[15, 72, -41]
2018/12/12 15:23:45	K9us	Captain_Handsome	Redstone Block	5.0	320.0	64	world	[15, 72, -41]
2018/12/12 15:23:46	K9us	Captain_Handsome	Redstone Block	5.0	165.0	33	world	[15, 72, -41]
2018/12/12 15:42:36	K9us	Remixster	Redstone Block	20.83328125	1333.33	64	world	[54, 79, 26]
2018/12/12 15:42:38	K9us	Remixster	Redstone Block	20.83328125	1333.33	64	world	[54, 79, 26]
2018/12/12 15:42:40	K9us	Remixster	Redstone Block	20.83328125	1333.33	64	world	[54, 79, 26]
2018/12/12 15:42:40	K9us	Remixster	Redstone Block	20.83328125	1333.33	64	world	[54, 79, 26]
2018/12/12 15:42:41	K9us	Remixster	Redstone Block	20.83328125	1333.33	64	world	[54, 79, 26]
2018/12/12 15:42:41	K9us	Remixster	Redstone Block	20.83328125	1333.33	64	world	[54, 79, 26]
2018/12/12 15:42:42	K9us	Remixster	Redstone Block	20.833333333333332	1000.0	48	world	[54, 79, 26]
2018/12/12 18:47:55	freakdown	K9us	Redstone Block	24.0	1536.0	64	world	[-1847, 9, 1608]
2018/12/12 18:47:57	freakdown	K9us	Redstone Block	24.0	1536.0	64	world	[-1847, 9, 1608]
2018/12/12 18:47:58	freakdown	K9us	Redstone Block	24.0	1536.0	64	world	[-1847, 9, 1608]
2018/12/14 03:30:20	K9us	Combat_Biscuit	Redstone Block	18.75	225.0	12	world	[-45, 66, 41]
2018/12/14 03:30:34	K9us	Combat_Biscuit	Redstone Block	18.75	300.0	16	world	[-45, 66, 41]
2018/12/14 03:30:35	K9us	Combat_Biscuit	Redstone Block	18.75	300.0	16	world	[-45, 66, 41]
2018/12/14 03:30:35	K9us	Combat_Biscuit	Redstone Block	18.75	300.0	16	world	[-45, 66, 41]
2018/12/14 03:30:36	K9us	Combat_Biscuit	Redstone Block	18.75	300.0	16	world	[-45, 66, 41]
2018/12/14 03:30:45	K9us	Combat_Biscuit	Redstone Block	18.75	300.0	16	world	[-45, 66, 41]
2018/12/14 03:30:46	K9us	Combat_Biscuit	Redstone Block	18.75	300.0	16	world	[-45, 66, 41]
2018/12/14 03:30:46	K9us	Combat_Biscuit	Redstone Block	18.75	300.0	16	world	[-45, 66, 41]
2018/12/14 03:30:47	K9us	Combat_Biscuit	Redstone Block	18.75	300.0	16	world	[-45, 66, 41]
2018/12/14 03:30:47	K9us	Combat_Biscuit	Redstone Block	18.75	300.0	16	world	[-45, 66, 41]
2018/12/14 03:30:48	K9us	Combat_Biscuit	Redstone Block	18.75	300.0	16	world	[-45, 66, 41]
2018/12/14 03:30:49	K9us	Combat_Biscuit	Redstone Block	18.75	468.75	25	world	[-45, 66, 41]
2019/01/14 18:39:01	freakdown	Remixster	Redstone Block	20.83328125	1333.33	64	world	[54, 79, 26]
2019/02/12 00:23:19	freakdown	Remixster	Redstone Block	20.833333333333332	500.0	24	world	[54, 79, 26]
2019/02/21 23:31:19	freakdown	Remixster	Redstone Block	20.83328125	1333.33	64	world	[54, 79, 26]
2019/02/21 23:31:22	freakdown	Remixster	Redstone Block	20.83328125	1333.33	64	world	[54, 79, 26]
2019/03/23 16:35:23	FatherTime__	K9us	Redstone Block	75.0	75.0	1	world	[33, 70, -28]
2019/04/06 17:45:09	Cesium_Knight	K9us	Redstone Block	75.0	4800.0	64	world	[33, 70, -28]
2019/04/06 17:45:10	Cesium_Knight	K9us	Redstone Block	75.0	4800.0	64	world	[33, 70, -28]
