year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	03	17	00	00	29	Colonel_Ruff	EnDristON	Redstone Lamp	300.0	9600.0	32	world	[260, 91, 126]
2019	04	13	16	09	04	Technerd05	EnDristON	Redstone Lamp	300.0	300.0	1	world	[260, 91, 126]
2019	04	13	20	05	19	daboogaoogaman	EnDristON	Redstone Lamp	300.0	18000.0	60	world	[260, 91, 126]
2019	04	29	11	25	49	frozenhammerz	EnDristON	Redstone Lamp	300.0	19200.0	64	world	[260, 91, 126]
2019	04	29	11	25	56	frozenhammerz	EnDristON	Redstone Lamp	300.0	19200.0	64	world	[260, 91, 126]
2019	10	29	19	09	49	daboogaoogaman	EnDristON	Redstone Lamp	300.0	300.0	1	world	[260, 91, 126]
2019	10	29	19	09	50	daboogaoogaman	EnDristON	Redstone Lamp	300.0	300.0	1	world	[260, 91, 126]
2019	10	29	19	09	51	daboogaoogaman	EnDristON	Redstone Lamp	300.0	300.0	1	world	[260, 91, 126]
2019	10	29	19	09	51	daboogaoogaman	EnDristON	Redstone Lamp	300.0	300.0	1	world	[260, 91, 126]
2019	10	29	19	09	52	daboogaoogaman	EnDristON	Redstone Lamp	300.0	300.0	1	world	[260, 91, 126]
2019	10	29	19	53	03	daboogaoogaman	EnDristON	Redstone Lamp	300.0	13200.0	44	world	[260, 91, 126]
