year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	03	16	38	13	__Wildfire_	sharonclaws	Rose Bush	15.0	960.0	64	world	[4, 57, 22]
2019	02	03	16	38	15	__Wildfire_	sharonclaws	Rose Bush	15.0	885.0	59	world	[4, 57, 22]
2019	02	08	19	40	37	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	38	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	39	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	40	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	41	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	41	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	42	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	44	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	44	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	45	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	46	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	47	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	48	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	48	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	49	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	50	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	58	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	40	59	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	41	00	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	08	19	41	00	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	12	07	54	39	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	12	07	54	40	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	12	07	54	41	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	12	07	54	42	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	12	07	54	43	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	12	07	54	44	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	12	07	54	45	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	12	07	54	46	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	12	07	54	47	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	17	16	42	41	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	17	16	42	42	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	17	16	42	42	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	17	16	42	43	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	17	16	42	43	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	17	16	42	45	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	17	16	42	45	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	17	16	42	46	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	17	16	42	46	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	02	17	16	42	48	EnDristON	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	03	10	11	08	03	Vivifoxx	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	03	10	11	08	06	Vivifoxx	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	03	10	11	08	10	Vivifoxx	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	03	10	11	08	11	Vivifoxx	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	04	01	19	30	27	Haksndot	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	04	01	19	30	28	Haksndot	sharonclaws	Rose Bush	15.0	15.0	1	world	[4, 57, 22]
2019	04	10	06	33	34	EnDristON	sharonclaws	Rose Bush	15.0	960.0	64	world	[4, 57, 22]
2019	04	16	02	08	39	__Wildfire_	sharonclaws	Rose Bush	15.0	960.0	64	world	[4, 57, 22]
2019	04	16	02	08	40	__Wildfire_	sharonclaws	Rose Bush	15.0	960.0	64	world	[4, 57, 22]
2019	04	16	02	08	40	__Wildfire_	sharonclaws	Rose Bush	15.0	960.0	64	world	[4, 57, 22]
2019	04	16	02	08	41	__Wildfire_	sharonclaws	Rose Bush	15.0	960.0	64	world	[4, 57, 22]
2019	04	16	02	08	42	__Wildfire_	sharonclaws	Rose Bush	15.0	870.0	58	world	[4, 57, 22]
2019	05	02	04	45	47	K9us	sharonclaws	Rose Bush	20.0	20.0	1	world	[4, 57, 22]
2019	05	02	04	45	47	K9us	sharonclaws	Rose Bush	20.0	20.0	1	world	[4, 57, 22]
2019	05	03	18	05	35	K9us	sharonclaws	Rose Bush	20.0	20.0	1	world	[4, 57, 22]
2019	06	01	08	01	35	magemagemege	sharonclaws	Rose Bush	20.0	1280.0	64	world	[4, 57, 22]
2019	06	25	20	41	00	Vivifoxx	sharonclaws	Rose Bush	20.0	20.0	1	world	[4, 57, 22]
2019	06	25	20	41	01	Vivifoxx	sharonclaws	Rose Bush	20.0	20.0	1	world	[4, 57, 22]
2019	06	25	20	41	02	Vivifoxx	sharonclaws	Rose Bush	20.0	20.0	1	world	[4, 57, 22]
2019	06	25	20	41	02	Vivifoxx	sharonclaws	Rose Bush	20.0	20.0	1	world	[4, 57, 22]
2019	06	25	20	41	03	Vivifoxx	sharonclaws	Rose Bush	20.0	20.0	1	world	[4, 57, 22]
2019	06	25	20	41	04	Vivifoxx	sharonclaws	Rose Bush	20.0	20.0	1	world	[4, 57, 22]
2019	08	10	07	11	27	Miljanee	EnDristON	Rose Bush	3.0	3.0	1	world	[-245, 74, -451]
2019	08	10	07	11	28	Miljanee	EnDristON	Rose Bush	3.0	3.0	1	world	[-245, 74, -451]
2019	11	05	22	12	47	ZeroGDucks	sharonclaws	Rose Bush	20.0	20.0	1	world	[4, 57, 22]
