date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/08 23:24:00	pudzo	Remixster	Rose Red	50.0	400.0	8	world	[72, 70, 9]
2018/10/09 08:40:16	K9us	Remixster	Rose Red	50.0	400.0	8	world	[72, 70, 9]
2018/10/13 19:34:38	Haksndot	sharonclaws	Rose Red	5.0	105.0	21	world	[1, 73, 10]
2018/10/18 18:44:49	Shahayhay	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/10/18 18:44:50	Shahayhay	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/10/18 18:44:51	Shahayhay	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/10/28 00:21:05	MiChupacabaras	Remixster	Rose Red	12.5	100.0	8	world	[72, 70, 9]
2018/10/28 00:21:07	MiChupacabaras	Remixster	Rose Red	12.5	100.0	8	world	[72, 70, 9]
2018/11/10 17:12:06	Heronproject	Remixster	Rose Red	12.5	100.0	8	world	[72, 70, 9]
2018/11/10 17:12:07	Heronproject	Remixster	Rose Red	12.5	100.0	8	world	[72, 70, 9]
2018/11/10 17:12:10	Heronproject	Remixster	Rose Red	12.5	100.0	8	world	[72, 70, 9]
2018/11/10 17:12:11	Heronproject	Remixster	Rose Red	12.5	100.0	8	world	[72, 70, 9]
2018/11/10 21:35:29	Shahayhay	sharonclaws	Rose Red	5.0	320.0	64	world	[1, 73, 10]
2018/11/15 16:35:17	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/15 16:35:17	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/15 16:35:18	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/15 16:35:19	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/15 16:35:20	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/15 16:35:20	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:57:22	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:57:23	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:57:23	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:57:24	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:57:25	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:57:25	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:57:26	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:57:27	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:57:28	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:57:30	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:57:30	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:57:31	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:58:57	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:58:58	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:58:59	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:59:00	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:59:01	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:59:02	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:59:03	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
2018/11/16 15:59:04	Stormrunners	sharonclaws	Rose Red	5.0	5.0	1	world	[1, 73, 10]
