year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	01	00	09	00	Remixster	LightsChaos	Saddle	500.0	500.0	1	world	[21, 69, 35]
2018	09	01	00	09	14	Remixster	LightsChaos	Saddle	500.0	500.0	1	world	[21, 69, 35]
2018	09	02	16	56	38	Char1348294	K9us	Saddle	500.0	500.0	1	world	[57, 72, -10]
2018	09	03	08	11	49	pudzo	K9us	Saddle	500.0	500.0	1	world	[57, 72, -10]
2018	09	04	03	33	01	Char1348294	K9us	Saddle	500.0	500.0	1	world	[36, 71, -5]
2018	09	04	03	33	02	Char1348294	K9us	Saddle	500.0	500.0	1	world	[36, 71, -5]
2018	09	04	03	33	20	Char1348294	K9us	Saddle	500.0	500.0	1	world	[36, 71, -5]
2018	09	09	20	09	14	HandyEric3	K9us	Saddle	590.0	590.0	1	world	[38, 72, -21]
2018	09	19	14	49	52	Stormrunners	K9us	Saddle	150.0	150.0	1	world	[33, 70, -28]
2018	09	21	01	45	24	Remixster	K9us	Saddle	150.0	150.0	1	world	[33, 70, -28]
2018	09	21	01	45	26	Remixster	K9us	Saddle	150.0	150.0	1	world	[33, 70, -28]
2018	09	21	19	00	46	Troll_kin	K9us	Saddle	150.0	150.0	1	world	[33, 70, -28]
2018	09	21	19	00	47	Troll_kin	K9us	Saddle	150.0	150.0	1	world	[33, 70, -28]
2018	09	23	00	53	07	AteUrC00ki35	K9us	Saddle	150.0	150.0	1	world	[33, 70, -28]
2018	09	23	00	53	08	AteUrC00ki35	K9us	Saddle	150.0	150.0	1	world	[33, 70, -28]
2018	09	28	10	40	53	Vrael1	K9us	Saddle	150.0	150.0	1	world	[33, 70, -28]
2018	09	29	03	00	13	AteUrC00ki35	K9us	Saddle	250.0	250.0	1	world	[32, 71, -43]
2018	09	29	03	00	16	AteUrC00ki35	K9us	Saddle	250.0	250.0	1	world	[32, 71, -43]
2018	10	01	10	12	04	Daria_Knight	K9us	Saddle	150.0	150.0	1	world	[33, 70, -28]
2018	10	08	09	02	37	Daria_Knight	K9us	Saddle	75.0	75.0	1	world	[33, 70, -28]
2018	10	27	12	49	23	Aewheros	K9us	Saddle	250.0	250.0	1	world	[32, 71, -43]
2018	10	29	17	29	15	daggvad	K9us	Saddle	250.0	250.0	1	world	[32, 71, -43]
2018	10	30	13	07	23	Aewheros	K9us	Saddle	75.0	75.0	1	world	[33, 70, -28]
2018	10	30	13	07	24	Aewheros	K9us	Saddle	75.0	75.0	1	world	[33, 70, -28]
2018	10	30	13	07	24	Aewheros	K9us	Saddle	75.0	75.0	1	world	[33, 70, -28]
2018	10	30	13	07	25	Aewheros	K9us	Saddle	75.0	75.0	1	world	[33, 70, -28]
2018	10	30	13	07	29	Aewheros	K9us	Saddle	75.0	75.0	1	world	[33, 70, -28]
2018	10	31	13	28	19	Aewheros	K9us	Saddle	250.0	250.0	1	world	[32, 71, -43]
2018	11	04	13	15	08	Aewheros	K9us	Saddle	250.0	250.0	1	world	[32, 71, -43]
2018	11	04	13	15	09	Aewheros	K9us	Saddle	250.0	250.0	1	world	[32, 71, -43]
2018	11	04	13	15	10	Aewheros	K9us	Saddle	250.0	250.0	1	world	[32, 71, -43]
2018	11	06	19	53	23	Engineerer	K9us	Saddle	250.0	250.0	1	world	[33, 70, -28]
2018	11	09	12	26	34	Aewheros	K9us	Saddle	250.0	250.0	1	world	[33, 70, -28]
2018	11	09	12	26	35	Aewheros	K9us	Saddle	250.0	250.0	1	world	[33, 70, -28]
2018	11	09	12	26	36	Aewheros	K9us	Saddle	250.0	250.0	1	world	[33, 70, -28]
2018	11	09	12	26	36	Aewheros	K9us	Saddle	250.0	250.0	1	world	[33, 70, -28]
2018	11	09	12	26	38	Aewheros	K9us	Saddle	250.0	250.0	1	world	[33, 70, -28]
2018	11	09	12	26	39	Aewheros	K9us	Saddle	250.0	250.0	1	world	[33, 70, -28]
2018	11	09	12	26	42	Aewheros	K9us	Saddle	250.0	250.0	1	world	[33, 70, -28]
2018	11	09	14	21	29	Engineerer	K9us	Saddle	250.0	250.0	1	world	[33, 70, -28]
2018	11	09	14	21	30	Engineerer	K9us	Saddle	250.0	250.0	1	world	[33, 70, -28]
