year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	16	19	11	58	Heronproject	K9us	Sandstone	80.0	5120.0	64	world	[40, 73, -24]
2019	05	10	20	19	52	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	19	54	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	19	55	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	19	56	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	19	57	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	19	57	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	19	58	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	19	59	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	20	00	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	20	00	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	20	01	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	20	02	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	20	02	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	20	03	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	20	04	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	20	04	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2019	05	10	20	20	05	daboogaoogaman	EnDristON	Sandstone	34.37538461538462	446.88	13	world	[256, 80, 140]
2019	05	10	20	20	09	daboogaoogaman	EnDristON	Sandstone	40.625	2600.0	64	world	[256, 79, 140]
2019	05	10	20	20	09	daboogaoogaman	EnDristON	Sandstone	40.625	2600.0	64	world	[256, 79, 140]
2020	02	26	13	05	46	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2020	02	26	13	05	46	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2020	02	26	13	05	47	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2020	02	26	13	05	47	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2020	02	26	13	05	48	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2020	02	26	13	05	49	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2020	02	26	13	05	50	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2020	02	26	13	05	50	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2020	02	26	13	05	51	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2020	02	26	13	05	52	daboogaoogaman	EnDristON	Sandstone	34.375	2200.0	64	world	[256, 80, 140]
2020	02	26	13	40	24	daboogaoogaman	EnDristON	Sandstone	28.125	1800.0	64	world	[256, 81, 140]
2020	02	26	13	40	25	daboogaoogaman	EnDristON	Sandstone	28.125	1800.0	64	world	[256, 81, 140]
2020	02	26	13	40	25	daboogaoogaman	EnDristON	Sandstone	28.125	1800.0	64	world	[256, 81, 140]
2020	02	26	13	40	26	daboogaoogaman	EnDristON	Sandstone	28.125	1800.0	64	world	[256, 81, 140]
2020	02	26	13	40	26	daboogaoogaman	EnDristON	Sandstone	28.125	1800.0	64	world	[256, 81, 140]
2020	02	26	13	40	27	daboogaoogaman	EnDristON	Sandstone	28.125	1800.0	64	world	[256, 81, 140]
2020	02	26	18	46	13	daboogaoogaman	EnDristON	Sandstone	28.125	1800.0	64	world	[256, 81, 140]
2020	02	26	18	46	13	daboogaoogaman	EnDristON	Sandstone	28.125	1800.0	64	world	[256, 81, 140]
2020	02	26	18	46	14	daboogaoogaman	EnDristON	Sandstone	28.125	1800.0	64	world	[256, 81, 140]
2020	02	26	18	46	14	daboogaoogaman	EnDristON	Sandstone	28.125	1800.0	64	world	[256, 81, 140]
2020	02	26	18	46	15	daboogaoogaman	EnDristON	Sandstone	28.125	1800.0	64	world	[256, 81, 140]
2020	02	26	18	46	16	daboogaoogaman	EnDristON	Sandstone	28.125	1800.0	64	world	[256, 81, 140]
