year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	26	22	54	00	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	01	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	01	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	02	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	02	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	03	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	04	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	05	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	05	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	06	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	06	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	07	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	07	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	08	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	09	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	10	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	10	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	11	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	12	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	12	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	1000.0	1	world	[1, 66, 6]
2018	09	26	22	54	18	__Wildfire_	Cardano_ff	Sea Lantern	1000.0	64000.0	64	world	[1, 66, 6]
2018	09	27	12	53	26	Heronproject	Cardano_ff	Sea Lantern	500.0	500.0	1	world	[1, 67, 7]
2018	09	27	12	53	27	Heronproject	Cardano_ff	Sea Lantern	500.0	500.0	1	world	[1, 67, 7]
2018	09	27	12	53	28	Heronproject	Cardano_ff	Sea Lantern	500.0	500.0	1	world	[1, 67, 7]
