year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	03	16	26	35	nilssssss	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	02	07	23	44	52	nilssssss	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	02	17	07	45	33	NorraLigan	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	02	17	07	49	50	NorraLigan	Aewheros	Sea Pickle	15.625	781.25	50	world	[116, 55, -50]
2019	02	17	07	49	55	NorraLigan	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	02	17	07	49	58	NorraLigan	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	02	17	09	08	56	NorraLigan	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	02	18	02	39	38	NorraLigan	sharonclaws	Sea Pickle	50.0	3200.0	64	world	[0, 57, 22]
2019	05	17	14	36	43	K9us	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	05	17	14	36	44	K9us	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	05	17	14	36	46	K9us	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	05	17	14	36	47	K9us	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	05	17	14	36	48	K9us	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	05	17	14	36	48	K9us	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	05	17	14	36	49	K9us	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	05	17	14	36	50	K9us	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	08	03	00	29	58	Marcus265	Aewheros	Sea Pickle	15.625	1000.0	64	world	[116, 55, -50]
2019	09	16	21	19	11	Thoreu	sharonclaws	Sea Pickle	50.0	50.0	1	world	[0, 57, 22]
2019	09	16	21	19	11	Thoreu	sharonclaws	Sea Pickle	50.0	50.0	1	world	[0, 57, 22]
2019	09	16	21	19	12	Thoreu	sharonclaws	Sea Pickle	50.0	50.0	1	world	[0, 57, 22]
2019	09	16	21	19	13	Thoreu	sharonclaws	Sea Pickle	50.0	50.0	1	world	[0, 57, 22]
2019	09	16	21	19	13	Thoreu	sharonclaws	Sea Pickle	50.0	50.0	1	world	[0, 57, 22]
2019	12	13	14	36	56	Oaken_Ralph	Marcus265	Sea Pickle	250.0	250.0	1	world	[364, 81, 187]
2019	12	13	14	36	57	Oaken_Ralph	Marcus265	Sea Pickle	250.0	250.0	1	world	[364, 81, 187]
2019	12	13	14	36	57	Oaken_Ralph	Marcus265	Sea Pickle	250.0	250.0	1	world	[364, 81, 187]
2019	12	13	14	36	58	Oaken_Ralph	Marcus265	Sea Pickle	250.0	250.0	1	world	[364, 81, 187]
2019	12	13	14	36	58	Oaken_Ralph	Marcus265	Sea Pickle	250.0	250.0	1	world	[364, 81, 187]
2019	12	13	14	36	59	Oaken_Ralph	Marcus265	Sea Pickle	250.0	250.0	1	world	[364, 81, 187]
2019	12	13	14	37	00	Oaken_Ralph	Marcus265	Sea Pickle	250.0	250.0	1	world	[364, 81, 187]
2019	12	13	14	37	01	Oaken_Ralph	Marcus265	Sea Pickle	250.0	250.0	1	world	[364, 81, 187]
