year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	14	12	50	06	Stormrunners	steelpanmaster	Seagrass	10.0	10.0	1	world	[-199, 63, -9]
2019	02	07	22	20	36	coconewell92	AteUrC00ki35	Seagrass	5.0	320.0	64	world	[-347, 74, 83]
2019	02	07	22	20	40	coconewell92	AteUrC00ki35	Seagrass	5.0	320.0	64	world	[-347, 74, 83]
2019	02	07	22	20	41	coconewell92	AteUrC00ki35	Seagrass	5.0	320.0	64	world	[-347, 74, 83]
2019	02	07	23	48	40	nilssssss	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	02	07	23	48	40	nilssssss	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	02	07	23	48	41	nilssssss	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	02	07	23	48	42	nilssssss	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	02	07	23	48	43	nilssssss	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	02	07	23	48	43	nilssssss	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	02	07	23	48	45	nilssssss	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	02	07	23	48	45	nilssssss	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	02	07	23	48	46	nilssssss	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	02	07	23	48	47	nilssssss	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	03	17	21	25	22	Colonel_Ruff	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	03	17	21	25	23	Colonel_Ruff	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	03	17	21	25	24	Colonel_Ruff	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	03	17	21	25	26	Colonel_Ruff	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	04	07	19	02	31	frozenhammerz	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	04	07	19	02	33	frozenhammerz	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	04	07	19	02	33	frozenhammerz	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	04	07	19	02	34	frozenhammerz	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	04	07	19	02	34	frozenhammerz	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	04	07	19	02	35	frozenhammerz	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	04	07	19	02	35	frozenhammerz	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2019	04	07	19	02	36	frozenhammerz	sharonclaws	Seagrass	15.0	15.0	1	world	[0, 59, 22]
2020	01	10	15	48	32	Haksndot	Vallenius	Seagrass	15.0	960.0	64	world	[0, 59, 22]
