date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/30 01:02:41	__Wildfire_	K9us	Shulker Box#3R	99000.0	99000.0	1	world	[51, 72, -19]
2018/10/30 01:02:45	__Wildfire_	K9us	Shulker Box#3R	99000.0	99000.0	1	world	[51, 72, -19]
2018/10/30 01:02:46	__Wildfire_	K9us	Shulker Box#3R	99000.0	99000.0	1	world	[51, 72, -19]
2018/11/01 20:38:35	Mr_Digs	K9us	Shulker Box#3R	99000.0	99000.0	1	world	[33, 83, -14]
2018/11/15 05:52:59	ersi	K9us	Shulker Box#3R	88000.0	88000.0	1	world	[33, 83, -14]
2018/11/29 05:08:10	freakdown	K9us	Shulker Box#3R	88000.0	88000.0	1	world	[33, 83, -14]
2018/11/29 05:08:23	freakdown	K9us	Shulker Box#3R	88000.0	88000.0	1	world	[33, 83, -14]
2018/12/02 00:21:21	freakdown	K9us	Shulker Box#3R	88000.0	88000.0	1	world	[33, 83, -14]
2018/12/02 00:21:24	freakdown	K9us	Shulker Box#3R	88000.0	88000.0	1	world	[33, 83, -14]
2018/12/02 00:33:49	freakdown	K9us	Shulker Box#3R	88000.0	88000.0	1	world	[33, 83, -14]
2019/03/23 15:38:09	Colonel_Ruff	ezrone	Shulker Box#3R	100000.0	100000.0	1	world	[265, 79, 153]
