date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/12 15:26:09	LightsChaos	frozenhammerz	Shulker Box	195000.0	195000.0	1	world	[23, 69, -6]
2018/09/15 14:38:09	Shahayhay	frozenhammerz	Shulker Box	195000.0	195000.0	1	world	[23, 69, -6]
2018/09/15 14:38:10	Shahayhay	frozenhammerz	Shulker Box	195000.0	195000.0	1	world	[23, 69, -6]
2018/09/15 16:15:08	LightsChaos	frozenhammerz	Shulker Box	195000.0	195000.0	1	world	[23, 69, -6]
2018/09/18 19:35:06	Shahayhay	frozenhammerz	Shulker Box	150000.0	150000.0	1	world	[110, 57, -27]
2018/09/18 19:48:38	sharonclaws	frozenhammerz	Shulker Box	150000.0	150000.0	1	world	[110, 57, -27]
2018/09/18 21:01:32	NullCase	frozenhammerz	Shulker Box	150000.0	150000.0	1	world	[110, 57, -27]
2018/09/19 13:07:15	Reven546	frozenhammerz	Shulker Box	150000.0	150000.0	1	world	[110, 57, -27]
2018/09/21 14:43:11	LightsChaos	frozenhammerz	Shulker Box	125000.0	125000.0	1	world	[33, 83, -14]
2018/09/21 14:43:14	LightsChaos	frozenhammerz	Shulker Box	125000.0	125000.0	1	world	[33, 83, -14]
2018/09/21 22:35:55	pudzo	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/22 15:42:31	pudzo	TheScrubJay	Shulker Box	125000.0	125000.0	1	world	[-10, 64, 14]
2018/09/23 00:04:43	pudzo	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/23 21:26:16	33_Shikamaru	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/24 06:13:49	__Wildfire_	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/24 06:15:01	__Wildfire_	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/24 06:15:01	__Wildfire_	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/25 07:12:03	__Wildfire_	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/25 07:12:04	__Wildfire_	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/25 07:12:06	__Wildfire_	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 03:47:16	__Wildfire_	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 03:47:18	__Wildfire_	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 03:47:22	__Wildfire_	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 09:53:19	LightsChaos	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 09:53:20	LightsChaos	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 09:53:21	LightsChaos	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 09:53:22	LightsChaos	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 09:53:56	LightsChaos	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 09:53:57	LightsChaos	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 09:54:19	LightsChaos	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 09:54:19	LightsChaos	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 09:54:20	LightsChaos	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 09:54:29	LightsChaos	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 09:54:42	LightsChaos	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 09:54:42	LightsChaos	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 17:07:40	33_Shikamaru	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 17:07:41	33_Shikamaru	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 17:07:41	33_Shikamaru	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 18:22:48	33_Shikamaru	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 18:22:49	33_Shikamaru	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 18:22:49	33_Shikamaru	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/26 18:46:40	33_Shikamaru	K9us	Shulker Box	100000.0	100000.0	1	world	[52, 72, -19]
2018/09/26 18:52:39	33_Shikamaru	K9us	Shulker Box	100000.0	100000.0	1	world	[52, 72, -19]
2018/09/27 03:57:54	__Wildfire_	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/27 03:57:56	__Wildfire_	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/29 17:44:49	Shahayhay	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/09/29 18:00:50	Reven546	K9us	Shulker Box	99000.0	99000.0	1	world	[51, 72, -19]
2018/09/29 18:04:05	Reven546	K9us	Shulker Box	99000.0	99000.0	1	world	[51, 72, -19]
2018/09/29 21:20:29	pudzo	frozenhammerz	Shulker Box	100000.0	100000.0	1	world	[110, 57, -27]
2018/10/01 09:03:01	__Wildfire_	K9us	Shulker Box	99000.0	99000.0	1	world	[51, 72, -19]
2018/10/01 09:03:01	__Wildfire_	K9us	Shulker Box	99000.0	99000.0	1	world	[51, 72, -19]
2018/10/01 16:36:21	Char1348294	K9us	Shulker Box	99000.0	99000.0	1	world	[51, 72, -19]
