year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	08	22	38	24	freakdown	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2018	12	12	18	20	19	freakdown	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2018	12	12	18	20	20	freakdown	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2018	12	12	18	20	22	freakdown	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2018	12	12	18	20	25	freakdown	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2018	12	13	18	12	39	Stormrunners	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2018	12	23	11	54	17	G4t1t4M1m0s4	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2018	12	27	19	21	30	G4t1t4M1m0s4	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2018	12	29	18	53	35	Aewheros	K9us	Slime Block	1.0999999999999999	6.6	6	world	[-1871, 18, 1608]
2019	01	12	05	20	04	freakdown	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	12	05	20	05	freakdown	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	12	18	23	22	Heronproject	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	12	18	23	27	Heronproject	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	12	18	24	14	Heronproject	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	12	18	24	15	Heronproject	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	12	18	24	16	Heronproject	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	12	18	24	16	Heronproject	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	12	18	24	17	Heronproject	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	12	18	24	17	Heronproject	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	12	18	24	18	Heronproject	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	12	18	24	19	Heronproject	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	14	18	13	38	magemagemege	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	14	18	13	39	magemagemege	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	14	18	13	40	magemagemege	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	14	18	13	41	magemagemege	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	14	21	54	42	freakdown	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	01	24	17	23	37	Aewheros	K9us	Slime Block	1.1	1.1	1	world	[-1871, 18, 1608]
2019	02	01	16	25	44	TheScrubJay	sharonclaws	Slime Block	1.125	72.0	64	world	[11, 57, 12]
2019	02	12	00	25	36	freakdown	sharonclaws	Slime Block	1.125	72.0	64	world	[-14, 57, 15]
2019	02	12	00	25	36	freakdown	sharonclaws	Slime Block	1.125	72.0	64	world	[-14, 57, 15]
2019	02	12	00	25	37	freakdown	sharonclaws	Slime Block	1.125	72.0	64	world	[-14, 57, 15]
2019	02	18	17	02	05	EnDristON	sharonclaws	Slime Block	1.125	72.0	64	world	[-14, 57, 15]
2019	04	05	19	27	25	daboogaoogaman	K9us	Slime Block	1.1	1.1	1	world	[-1871, 18, 1608]
2019	04	05	19	27	26	daboogaoogaman	K9us	Slime Block	1.1	1.1	1	world	[-1871, 18, 1608]
2019	04	05	19	27	28	daboogaoogaman	K9us	Slime Block	1.1	1.1	1	world	[-1871, 18, 1608]
2019	04	05	19	27	29	daboogaoogaman	K9us	Slime Block	1.1	1.1	1	world	[-1871, 18, 1608]
2019	04	05	19	27	29	daboogaoogaman	K9us	Slime Block	1.1	1.1	1	world	[-1871, 18, 1608]
2019	05	03	06	28	15	frozenhammerz	K9us	Slime Block	1.1	1.1	1	world	[-1871, 18, 1608]
2019	06	07	21	28	37	Talrinion	Stormrunners	Slime Block	5.0	5.0	1	world	[-344, 83, -471]
2019	06	07	21	29	49	Talrinion	Stormrunners	Slime Block	5.0	5.0	1	world	[-344, 83, -471]
2019	06	07	21	29	50	Talrinion	Stormrunners	Slime Block	5.0	5.0	1	world	[-344, 83, -471]
2019	06	07	21	29	50	Talrinion	Stormrunners	Slime Block	5.0	5.0	1	world	[-344, 83, -471]
2019	06	07	21	29	51	Talrinion	Stormrunners	Slime Block	5.0	5.0	1	world	[-344, 83, -471]
2019	06	07	21	29	51	Talrinion	Stormrunners	Slime Block	5.0	5.0	1	world	[-344, 83, -471]
2019	06	07	21	29	52	Talrinion	Stormrunners	Slime Block	5.0	5.0	1	world	[-344, 83, -471]
2019	06	07	21	29	53	Talrinion	Stormrunners	Slime Block	5.0	285.0	57	world	[-344, 83, -471]
2019	06	23	23	54	45	Talrinion	EnDristON	Slime Block	5.0	5.0	1	world	[-323, 67, -455]
2020	01	13	19	56	14	Tomter	EnDristON	Slime Block	5.0	5.0	1	world	[-323, 67, -455]
2020	01	13	19	56	15	Tomter	EnDristON	Slime Block	5.0	5.0	1	world	[-323, 67, -455]
2020	01	13	19	56	16	Tomter	EnDristON	Slime Block	5.0	5.0	1	world	[-323, 67, -455]
2020	01	19	15	42	08	Vivifoxx	EnDristON	Slime Block	10.0	10.0	1	world	[-151, 7, -9]
2020	02	11	07	00	09	illdeletethis	EnDristON	Slime Block	5.0	5.0	1	world	[-323, 67, -455]
2020	02	11	07	00	11	illdeletethis	EnDristON	Slime Block	5.0	5.0	1	world	[-323, 67, -455]
2020	02	12	10	31	20	illdeletethis	EnDristON	Slime Block	5.0	5.0	1	world	[-323, 67, -455]
2020	02	12	10	31	22	illdeletethis	EnDristON	Slime Block	5.0	5.0	1	world	[-323, 67, -455]
2020	02	15	10	38	48	daboogaoogaman	EnDristON	Slime Block	5.0	95.0	19	world	[-323, 67, -455]
2020	03	22	15	26	06	TheMotherBrayne	Minarchu	Slime Block	25.0	1600.0	64	world	[393, 79, 118]
2020	03	22	15	26	07	TheMotherBrayne	Minarchu	Slime Block	25.0	1425.0	57	world	[393, 79, 118]
