year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	25	11	31	32	Remixster	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2018	12	25	11	31	33	Remixster	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2018	12	25	11	31	33	Remixster	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2018	12	25	11	31	34	Remixster	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2018	12	25	11	31	34	Remixster	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2018	12	25	11	31	35	Remixster	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	01	01	16	46	58	Stormrunners	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	01	19	00	18	33	Psyper77	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	01	30	19	21	46	monkeyboy448	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	03	16	23	26	53	Lego_UOE	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	03	18	22	58	27	dandenoth	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	03	20	16	54	38	ezrone	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	03	20	16	54	39	ezrone	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	03	21	18	16	15	ezrone	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	03	21	18	16	16	ezrone	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	03	21	18	16	16	ezrone	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	03	21	18	16	18	ezrone	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	03	21	18	16	18	ezrone	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	03	21	18	16	19	ezrone	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	04	21	18	56	47	dandenoth	Shahayhay	Snow Block	2.5	5.0	2	world_the_end	[123, 58, -116]
2019	05	03	06	26	04	frozenhammerz	K9us	Snow Block	11.0	11.0	1	world	[-1867, 6, 1608]
2019	05	03	06	26	05	frozenhammerz	K9us	Snow Block	11.0	11.0	1	world	[-1867, 6, 1608]
2019	05	03	06	26	05	frozenhammerz	K9us	Snow Block	11.0	11.0	1	world	[-1867, 6, 1608]
2019	07	14	01	25	44	kuraudosukei	K9us	Snow Block	11.0	704.0	64	world	[-1867, 6, 1608]
