year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	24	17	00	04	Dragonslair7	Shahayhay	Snowball	5.0	5.0	1	world_the_end	[119, 58, 28]
2018	12	24	17	00	07	Dragonslair7	Shahayhay	Snowball	5.0	5.0	1	world_the_end	[119, 58, 28]
2018	12	25	11	31	43	Remixster	Shahayhay	Snowball	5.0	5.0	1	world_the_end	[125, 58, -116]
2018	12	25	11	31	44	Remixster	Shahayhay	Snowball	5.0	5.0	1	world_the_end	[125, 58, -116]
2018	12	25	11	31	45	Remixster	Shahayhay	Snowball	5.0	5.0	1	world_the_end	[125, 58, -116]
2018	12	25	11	31	46	Remixster	Shahayhay	Snowball	5.0	5.0	1	world_the_end	[125, 58, -116]
2018	12	25	11	31	48	Remixster	Shahayhay	Snowball	5.0	5.0	1	world_the_end	[125, 58, -116]
2019	01	19	00	18	43	Psyper77	Shahayhay	Snowball	5.0	5.0	1	world_the_end	[125, 58, -116]
2019	01	26	22	50	57	sharonclaws	Shahayhay	Snowball	6.25	100.0	16	world_the_end	[93, 57, -97]
2019	03	20	16	55	24	ezrone	Shahayhay	Snowball	5.0	5.0	1	world_the_end	[125, 58, -116]
2019	04	07	13	57	08	darkraysplash	Shahayhay	Snowball	6.25	100.0	16	world_the_end	[93, 57, -97]
2019	04	07	13	57	09	darkraysplash	Shahayhay	Snowball	6.25	100.0	16	world_the_end	[93, 57, -97]
2019	04	21	18	56	48	dandenoth	Shahayhay	Snowball	5.0	5.0	1	world_the_end	[125, 58, -116]
