year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	06	22	04	09	Haksndot	Shahayhay	Soul Sand	2.4	153.6	64	world	[74, 66, -320]
2018	09	06	22	04	10	Haksndot	Shahayhay	Soul Sand	2.4	2.4	1	world	[74, 66, -320]
2018	09	18	16	40	20	DjungelJarl	__Wildfire_	Soul Sand	9.375	150.0	16	world	[32, 70, 5]
2018	09	18	16	40	23	DjungelJarl	__Wildfire_	Soul Sand	9.375	150.0	16	world	[32, 70, 5]
2018	09	18	16	40	24	DjungelJarl	__Wildfire_	Soul Sand	9.375	150.0	16	world	[32, 70, 5]
2018	09	18	16	40	25	DjungelJarl	__Wildfire_	Soul Sand	9.375	150.0	16	world	[32, 70, 5]
2018	09	23	16	53	44	KromeNinja	K9us	Soul Sand	25.0	25.0	1	world	[54, 73, -22]
2018	09	29	17	32	59	Butokuden	K9us	Soul Sand	25.0	25.0	1	world	[54, 73, -22]
2018	09	29	17	33	00	Butokuden	K9us	Soul Sand	25.0	25.0	1	world	[54, 73, -22]
2018	09	29	17	33	01	Butokuden	K9us	Soul Sand	25.0	1600.0	64	world	[54, 73, -22]
2018	11	03	04	42	40	TechnoWiking	K9us	Soul Sand	225.0	225.0	1	world	[54, 73, -22]
2018	11	03	04	42	42	TechnoWiking	K9us	Soul Sand	225.0	225.0	1	world	[54, 73, -22]
2018	11	03	04	42	43	TechnoWiking	K9us	Soul Sand	225.0	225.0	1	world	[54, 73, -22]
2018	11	03	04	42	44	TechnoWiking	K9us	Soul Sand	225.0	225.0	1	world	[54, 73, -22]
2018	11	03	04	42	45	TechnoWiking	K9us	Soul Sand	225.0	225.0	1	world	[54, 73, -22]
2018	11	03	04	42	46	TechnoWiking	K9us	Soul Sand	225.0	225.0	1	world	[54, 73, -22]
2018	11	03	04	42	46	TechnoWiking	K9us	Soul Sand	225.0	225.0	1	world	[54, 73, -22]
2018	11	03	04	42	47	TechnoWiking	K9us	Soul Sand	225.0	225.0	1	world	[54, 73, -22]
2018	11	03	04	42	48	TechnoWiking	K9us	Soul Sand	225.0	225.0	1	world	[54, 73, -22]
2018	11	03	04	42	48	TechnoWiking	K9us	Soul Sand	225.0	225.0	1	world	[54, 73, -22]
2018	11	04	02	21	16	NorraLigan	K9us	Soul Sand	225.0	225.0	1	world	[54, 73, -22]
2018	11	06	10	32	35	K9us	Haksndot	Soul Sand	125.0	1000.0	8	world_nether	[-51, 112, -22]
2018	11	09	09	18	28	Impression28	K9us	Soul Sand	110.0	110.0	1	world	[54, 73, -22]
2018	11	09	12	58	15	Aewheros	K9us	Soul Sand	110.0	110.0	1	world	[54, 73, -22]
