year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	05	22	22	14	Shahayhay	pudzo	Spider Eye	16.0	16.0	1	world	[-270, 10, -78]
2018	10	26	08	35	22	K9us	frozenhammerz	Spider Eye	1.0	1.0	1	world	[-2494, 12, 1255]
2018	12	17	17	29	58	Stormrunners	pudzo	Spider Eye	16.0	16.0	1	world	[-271, 64, -38]
2018	12	17	17	29	58	Stormrunners	pudzo	Spider Eye	16.0	16.0	1	world	[-271, 64, -38]
2018	12	17	17	29	59	Stormrunners	pudzo	Spider Eye	16.0	16.0	1	world	[-271, 64, -38]
2018	12	17	17	30	00	Stormrunners	pudzo	Spider Eye	16.0	16.0	1	world	[-271, 64, -38]
2018	12	17	17	30	01	Stormrunners	pudzo	Spider Eye	16.0	16.0	1	world	[-271, 64, -38]
2018	12	17	17	30	22	Stormrunners	pudzo	Spider Eye	16.0	16.0	1	world	[-271, 64, -38]
2018	12	17	17	30	22	Stormrunners	pudzo	Spider Eye	16.0	16.0	1	world	[-271, 64, -38]
2018	12	17	17	30	23	Stormrunners	pudzo	Spider Eye	16.0	16.0	1	world	[-271, 64, -38]
2018	12	17	17	30	24	Stormrunners	pudzo	Spider Eye	16.0	16.0	1	world	[-271, 64, -38]
2018	12	17	17	30	24	Stormrunners	pudzo	Spider Eye	16.0	16.0	1	world	[-271, 64, -38]
2019	01	11	18	01	46	Stormrunners	Remixster	Spider Eye	25.0	200.0	8	world	[56, 79, 26]
2019	01	22	14	51	21	Stormrunners	Remixster	Spider Eye	25.0	200.0	8	world	[56, 79, 26]
2019	01	22	14	51	22	Stormrunners	Remixster	Spider Eye	25.0	200.0	8	world	[56, 79, 26]
2019	07	13	00	22	55	kuraudosukei	Remix_D_Miner	Spider Eye	25.0	825.0	33	world	[56, 79, 26]
