year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	03	23	00	31	48	NullCase	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	03	23	00	31	48	NullCase	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	03	23	00	31	49	NullCase	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	03	23	00	31	49	NullCase	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	03	23	00	31	50	NullCase	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	21	04	23	00	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	21	04	23	11	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	21	04	23	11	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	21	04	23	12	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	21	04	23	12	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	21	04	23	13	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	21	04	23	17	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	21	04	23	22	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	24	00	48	48	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	24	00	48	50	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	24	00	48	50	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	24	00	48	59	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	24	00	49	00	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	24	00	49	00	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	24	00	49	01	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	24	00	49	01	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	24	00	49	07	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	09	24	00	49	07	Thoreu	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	12	05	13	19	13	Vallenius	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	12	05	13	19	16	Vallenius	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	12	05	13	19	17	Vallenius	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2019	12	05	13	19	17	Vallenius	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
2020	01	31	10	14	49	_mrpuggy_	coconewell92	Splash Potion#99	1000.0	1000.0	1	world	[262, 79, 181]
