date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/17 08:36:21	K9us	Haksndot	Spruce Leaves	60.0	60.0	1	world_nether	[-26, 112, -46]
2018/11/04 14:23:40	Jesper1972	Haksndot	Spruce Leaves	60.0	60.0	1	world_nether	[-26, 112, -46]
2019/05/03 06:55:12	frozenhammerz	K9us	Spruce Leaves	6.0	6.0	1	world	[79, 62, -42]
2019/05/03 06:55:13	frozenhammerz	K9us	Spruce Leaves	6.0	6.0	1	world	[79, 62, -42]
2019/05/03 06:55:14	frozenhammerz	K9us	Spruce Leaves	6.0	6.0	1	world	[79, 62, -42]
2019/07/12 15:27:43	Mathemagician4	K9us	Spruce Leaves	6.0	384.0	64	world	[79, 62, -42]
2019/07/12 15:27:44	Mathemagician4	K9us	Spruce Leaves	6.0	384.0	64	world	[79, 62, -42]
2019/07/12 15:27:46	Mathemagician4	K9us	Spruce Leaves	6.0	384.0	64	world	[79, 62, -42]
2019/07/14 14:49:48	Dredhounds	K9us	Spruce Leaves	6.0	384.0	64	world	[79, 62, -42]
2019/07/14 14:49:49	Dredhounds	K9us	Spruce Leaves	6.0	6.0	1	world	[79, 62, -42]
