date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/28 00:55:36	sharonclaws	K9us	Spruce Planks	19.0	1216.0	64	world	[15, 72, -9]
2018/09/29 02:35:44	MajaAstrid	K9us	Spruce Planks	19.0	19.0	1	world	[15, 72, -9]
2018/11/17 01:05:12	frozenhammerz	K9us	Spruce Planks	25.0	1600.0	64	world	[15, 72, -12]
2018/11/17 01:05:15	frozenhammerz	K9us	Spruce Planks	25.0	1450.0	58	world	[15, 72, -12]
2018/11/25 01:15:23	MiChupacabaras	K9us	Spruce Planks	19.0	19.0	1	world	[15, 72, -12]
2018/11/25 01:15:24	MiChupacabaras	K9us	Spruce Planks	19.0	114.0	6	world	[15, 72, -12]
2018/12/31 09:45:08	__Starlight_	K9us	Spruce Planks	19.0	19.0	1	world	[15, 72, -12]
2019/02/03 16:04:45	beluaeomega	K9us	Spruce Planks	19.0	1216.0	64	world	[15, 72, -12]
2019/02/18 08:58:03	K9us	EnDristON	Spruce Planks	6.0	108.0	18	world	[-327, 72, -429]
2019/03/07 20:04:51	Vivifoxx	K9us	Spruce Planks	17.0	1088.0	64	world	[84, 63, -57]
2019/03/22 04:30:42	EnDristON	Vivifoxx	Spruce Planks	1.5625	100.0	64	world	[308, 86, 26]
2019/03/22 04:30:43	EnDristON	Vivifoxx	Spruce Planks	1.5625	100.0	64	world	[308, 86, 26]
2019/05/03 06:55:28	frozenhammerz	K9us	Spruce Planks	15.0	15.0	1	world	[84, 61, -57]
2019/05/03 06:55:28	frozenhammerz	K9us	Spruce Planks	15.0	15.0	1	world	[84, 61, -57]
2019/05/03 06:55:29	frozenhammerz	K9us	Spruce Planks	15.0	15.0	1	world	[84, 61, -57]
2019/06/11 12:53:33	daboogaoogaman	K9us	Spruce Planks	17.0	1088.0	64	world	[84, 63, -57]
2019/06/11 12:53:57	daboogaoogaman	K9us	Spruce Planks	17.0	1088.0	64	world	[84, 63, -57]
2019/06/26 14:33:27	Oaken_Ralph	K9us	Spruce Planks	17.0	1088.0	64	world	[84, 63, -57]
2019/06/26 14:33:28	Oaken_Ralph	K9us	Spruce Planks	17.0	1088.0	64	world	[84, 63, -57]
2019/06/26 14:33:29	Oaken_Ralph	K9us	Spruce Planks	17.0	1088.0	64	world	[84, 63, -57]
2019/06/26 14:33:29	Oaken_Ralph	K9us	Spruce Planks	17.0	1088.0	64	world	[84, 63, -57]
2019/06/26 14:33:30	Oaken_Ralph	K9us	Spruce Planks	17.0	1088.0	64	world	[84, 63, -57]
2019/06/26 14:33:30	Oaken_Ralph	K9us	Spruce Planks	17.0	1088.0	64	world	[84, 63, -57]
2019/06/26 14:33:31	Oaken_Ralph	K9us	Spruce Planks	17.0	1088.0	64	world	[84, 63, -57]
2019/06/26 14:33:32	Oaken_Ralph	K9us	Spruce Planks	17.0	1088.0	64	world	[84, 63, -57]
2019/06/26 14:33:34	Oaken_Ralph	K9us	Spruce Planks	17.0	1088.0	64	world	[84, 63, -57]
2019/06/26 14:33:35	Oaken_Ralph	K9us	Spruce Planks	17.0	1088.0	64	world	[84, 63, -57]
2019/06/26 14:33:35	Oaken_Ralph	K9us	Spruce Planks	17.0	1088.0	64	world	[84, 63, -57]
2019/06/27 18:36:03	K9us	Vivifoxx	Spruce Planks	1.5625	100.0	64	world	[308, 86, 26]
2019/06/27 18:36:04	K9us	Vivifoxx	Spruce Planks	1.5625	100.0	64	world	[308, 86, 26]
2019/06/27 18:36:04	K9us	Vivifoxx	Spruce Planks	1.5625	100.0	64	world	[308, 86, 26]
2019/06/27 18:36:05	K9us	Vivifoxx	Spruce Planks	1.5625	100.0	64	world	[308, 86, 26]
2019/06/27 18:36:06	K9us	Vivifoxx	Spruce Planks	1.5625	100.0	64	world	[308, 86, 26]
2019/06/27 18:36:06	K9us	Vivifoxx	Spruce Planks	1.5625	100.0	64	world	[308, 86, 26]
2019/06/27 18:36:07	K9us	Vivifoxx	Spruce Planks	1.5625	100.0	64	world	[308, 86, 26]
2019/06/27 18:36:07	K9us	Vivifoxx	Spruce Planks	1.5625	100.0	64	world	[308, 86, 26]
2019/06/27 18:36:08	K9us	Vivifoxx	Spruce Planks	1.5625	100.0	64	world	[308, 86, 26]
