year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	26	13	37	08	Jesper1972	K9us	Spruce Sapling	100.0	100.0	1	world	[19, 71, -24]
2018	09	26	13	37	09	Jesper1972	K9us	Spruce Sapling	100.0	100.0	1	world	[19, 71, -24]
2018	11	02	10	45	51	G4t1t4M1m0s4	K9us	Spruce Sapling	100.0	3200.0	32	world	[19, 71, -24]
2018	11	26	20	18	01	MiChupacabaras	Haksndot	Spruce Sapling	100.0	100.0	1	world_nether	[-26, 112, -47]
2018	11	26	20	18	03	MiChupacabaras	Haksndot	Spruce Sapling	100.0	6400.0	64	world_nether	[-26, 112, -47]
2018	11	27	15	11	24	Heronproject	Haksndot	Spruce Sapling	100.0	100.0	1	world	[-119, 63, -35]
2018	11	30	13	52	23	Shahayhay	Haksndot	Spruce Sapling	100.0	100.0	1	world_nether	[-26, 112, -47]
2018	11	30	13	52	24	Shahayhay	Haksndot	Spruce Sapling	100.0	100.0	1	world_nether	[-26, 112, -47]
2018	11	30	13	52	24	Shahayhay	Haksndot	Spruce Sapling	100.0	100.0	1	world_nether	[-26, 112, -47]
2018	11	30	13	52	25	Shahayhay	Haksndot	Spruce Sapling	100.0	100.0	1	world_nether	[-26, 112, -47]
2019	01	28	17	07	36	theshayesta	Haksndot	Spruce Sapling	100.0	100.0	1	world	[-130, 63, -29]
2019	01	28	17	07	37	theshayesta	Haksndot	Spruce Sapling	100.0	1500.0	15	world	[-130, 63, -29]
2019	02	12	23	26	24	sharonclaws	Haksndot	Spruce Sapling	100.0	100.0	1	world	[-130, 63, -29]
2019	02	12	23	26	25	sharonclaws	Haksndot	Spruce Sapling	100.0	100.0	1	world	[-130, 63, -29]
2019	02	12	23	26	26	sharonclaws	Haksndot	Spruce Sapling	100.0	100.0	1	world	[-130, 63, -29]
2019	02	12	23	26	27	sharonclaws	Haksndot	Spruce Sapling	100.0	100.0	1	world	[-130, 63, -29]
2019	02	12	23	26	34	sharonclaws	Haksndot	Spruce Sapling	100.0	100.0	1	world	[-130, 63, -29]
2019	02	12	23	26	35	sharonclaws	Haksndot	Spruce Sapling	100.0	100.0	1	world	[-130, 63, -29]
2019	02	12	23	26	35	sharonclaws	Haksndot	Spruce Sapling	100.0	100.0	1	world	[-130, 63, -29]
2019	02	12	23	26	36	sharonclaws	Haksndot	Spruce Sapling	100.0	100.0	1	world	[-130, 63, -29]
2019	02	24	18	35	33	Aewheros	Haksndot	Spruce Sapling	100.0	100.0	1	world	[-130, 63, -29]
2019	02	24	18	35	33	Aewheros	Haksndot	Spruce Sapling	100.0	100.0	1	world	[-130, 63, -29]
2019	03	02	14	51	42	AshGreninja2579	Haksndot	Spruce Sapling	100.0	100.0	1	world	[-130, 63, -29]
2019	03	24	23	38	29	ezrone	K9us	Spruce Sapling	98.0	98.0	1	world	[82, 62, -42]
2019	03	24	23	38	30	ezrone	K9us	Spruce Sapling	98.0	98.0	1	world	[82, 62, -42]
2019	03	24	23	38	30	ezrone	K9us	Spruce Sapling	98.0	98.0	1	world	[82, 62, -42]
2019	03	24	23	38	31	ezrone	K9us	Spruce Sapling	98.0	98.0	1	world	[82, 62, -42]
2019	03	24	23	38	31	ezrone	K9us	Spruce Sapling	98.0	98.0	1	world	[82, 62, -42]
2019	03	24	23	38	32	ezrone	K9us	Spruce Sapling	98.0	98.0	1	world	[82, 62, -42]
2019	03	24	23	38	33	ezrone	K9us	Spruce Sapling	98.0	98.0	1	world	[82, 62, -42]
2019	03	24	23	38	33	ezrone	K9us	Spruce Sapling	98.0	98.0	1	world	[82, 62, -42]
2019	03	24	23	38	34	ezrone	K9us	Spruce Sapling	98.0	98.0	1	world	[82, 62, -42]
2019	03	24	23	38	34	ezrone	K9us	Spruce Sapling	98.0	98.0	1	world	[82, 62, -42]
2019	03	24	23	38	35	ezrone	K9us	Spruce Sapling	98.0	98.0	1	world	[82, 62, -42]
