year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	03	14	09	52	34	frozenhammerz	K9us	Spruce Trapdoor	24.0	24.0	1	world	[84, 61, -81]
2019	03	14	09	52	35	frozenhammerz	K9us	Spruce Trapdoor	24.0	24.0	1	world	[84, 61, -81]
2019	03	14	09	52	36	frozenhammerz	K9us	Spruce Trapdoor	24.0	24.0	1	world	[84, 61, -81]
2019	03	14	09	52	36	frozenhammerz	K9us	Spruce Trapdoor	24.0	24.0	1	world	[84, 61, -81]
2019	03	14	09	52	37	frozenhammerz	K9us	Spruce Trapdoor	24.0	24.0	1	world	[84, 61, -81]
2019	03	14	09	52	38	frozenhammerz	K9us	Spruce Trapdoor	24.0	24.0	1	world	[84, 61, -81]
2019	03	14	09	52	39	frozenhammerz	K9us	Spruce Trapdoor	24.0	24.0	1	world	[84, 61, -81]
2019	03	14	09	52	40	frozenhammerz	K9us	Spruce Trapdoor	24.0	24.0	1	world	[84, 61, -81]
2019	05	03	06	55	43	frozenhammerz	K9us	Spruce Trapdoor	24.0	24.0	1	world	[84, 61, -81]
2019	05	03	06	55	43	frozenhammerz	K9us	Spruce Trapdoor	24.0	24.0	1	world	[84, 61, -81]
2019	05	03	06	55	44	frozenhammerz	K9us	Spruce Trapdoor	24.0	24.0	1	world	[84, 61, -81]
