year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	23	02	35	02	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	04	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	06	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	07	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	08	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	09	__Wildfire_	K9us	Stone Bricks	1.0	1.0	1	world	[-1877, 15, 1572]
2018	12	23	02	35	10	__Wildfire_	K9us	Stone Bricks	1.0	1.0	1	world	[-1877, 15, 1572]
2018	12	23	02	35	13	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	15	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	16	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	19	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	20	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	22	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	23	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	24	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	24	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	25	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	26	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	26	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	27	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	28	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	28	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	29	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	35	30	__Wildfire_	K9us	Stone Bricks	1.0	62.0	62	world	[-1877, 15, 1572]
2018	12	23	02	36	10	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	11	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	12	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	13	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	16	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	16	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	17	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	17	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	18	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	19	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	19	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	20	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	20	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	21	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	22	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	22	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	23	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	23	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	24	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	40	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	41	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	42	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	42	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	43	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	44	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	44	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	45	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	45	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	46	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	46	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	47	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	48	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	48	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	49	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	49	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	50	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	36	51	__Wildfire_	K9us	Stone Bricks	1.0	16.0	16	world	[-1877, 15, 1572]
2018	12	23	02	36	51	__Wildfire_	K9us	Stone Bricks	1.0	2.0	2	world	[-1877, 15, 1572]
2018	12	23	02	36	52	__Wildfire_	K9us	Stone Bricks	1.0	2.0	2	world	[-1877, 15, 1572]
2018	12	23	02	36	54	__Wildfire_	K9us	Stone Bricks	1.0	6.0	6	world	[-1877, 15, 1572]
2018	12	23	02	36	55	__Wildfire_	K9us	Stone Bricks	1.0	2.0	2	world	[-1877, 15, 1572]
2018	12	23	02	39	20	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	39	20	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	39	21	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	39	22	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	39	22	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	39	23	__Wildfire_	K9us	Stone Bricks	1.0	49.0	49	world	[-1877, 15, 1572]
2018	12	23	02	39	40	__Wildfire_	K9us	Stone Bricks	1.0	42.0	42	world	[-1877, 15, 1572]
2018	12	23	02	39	43	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	39	43	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	39	44	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	39	45	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	39	45	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	39	46	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	39	47	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	39	47	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	39	48	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	39	49	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	39	50	__Wildfire_	K9us	Stone Bricks	1.0	24.0	24	world	[-1877, 15, 1572]
2018	12	23	02	39	51	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	39	51	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	39	52	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	39	53	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	39	53	__Wildfire_	K9us	Stone Bricks	1.0	9.0	9	world	[-1877, 15, 1572]
2018	12	23	02	39	55	__Wildfire_	K9us	Stone Bricks	1.0	5.0	5	world	[-1877, 15, 1572]
2018	12	23	02	39	56	__Wildfire_	K9us	Stone Bricks	1.0	1.0	1	world	[-1877, 15, 1572]
2018	12	23	02	39	56	__Wildfire_	K9us	Stone Bricks	1.0	2.0	2	world	[-1877, 15, 1572]
2018	12	23	02	39	57	__Wildfire_	K9us	Stone Bricks	1.0	2.0	2	world	[-1877, 15, 1572]
2018	12	23	02	39	58	__Wildfire_	K9us	Stone Bricks	1.0	1.0	1	world	[-1877, 15, 1572]
2018	12	23	02	39	59	__Wildfire_	K9us	Stone Bricks	1.0	3.0	3	world	[-1877, 15, 1572]
2018	12	23	02	39	59	__Wildfire_	K9us	Stone Bricks	1.0	1.0	1	world	[-1877, 15, 1572]
2018	12	23	02	40	00	__Wildfire_	K9us	Stone Bricks	1.0	2.0	2	world	[-1877, 15, 1572]
2018	12	23	02	40	01	__Wildfire_	K9us	Stone Bricks	1.0	2.0	2	world	[-1877, 15, 1572]
2018	12	23	02	40	01	__Wildfire_	K9us	Stone Bricks	1.0	1.0	1	world	[-1877, 15, 1572]
2018	12	23	02	40	03	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	40	04	__Wildfire_	K9us	Stone Bricks	1.5	96.0	64	world	[-1877, 14, 1572]
2018	12	23	02	40	05	__Wildfire_	K9us	Stone Bricks	1.5	49.5	33	world	[-1877, 14, 1572]
2018	12	23	02	40	47	__Wildfire_	K9us	Stone Bricks	1.0	64.0	64	world	[-1877, 15, 1572]
2018	12	23	02	40	48	__Wildfire_	K9us	Stone Bricks	1.0	52.0	52	world	[-1877, 15, 1572]
