year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	03	14	07	09	52	frozenhammerz	K9us	Stripped Oak Log	55.0	3520.0	64	world	[48, 61, -48]
2019	05	03	06	47	19	frozenhammerz	K9us	Stripped Oak Log	55.0	55.0	1	world	[48, 61, -48]
2019	05	03	06	47	20	frozenhammerz	K9us	Stripped Oak Log	55.0	55.0	1	world	[48, 61, -48]
2019	05	03	06	47	20	frozenhammerz	K9us	Stripped Oak Log	55.0	55.0	1	world	[48, 61, -48]
2019	05	04	05	59	52	Pancen	K9us	Stripped Oak Log	50.0	50.0	1	world	[48, 62, -48]
2019	05	05	07	19	52	frozenhammerz	K9us	Stripped Oak Log	50.0	3200.0	64	world	[48, 62, -48]
2019	05	05	07	19	53	frozenhammerz	K9us	Stripped Oak Log	50.0	3200.0	64	world	[48, 62, -48]
2019	05	05	07	19	53	frozenhammerz	K9us	Stripped Oak Log	50.0	3200.0	64	world	[48, 62, -48]
2019	11	29	17	16	57	Ekelunds46	K9us	Stripped Oak Log	45.0	45.0	1	world	[48, 63, -48]
2019	11	29	17	16	58	Ekelunds46	K9us	Stripped Oak Log	45.0	45.0	1	world	[48, 63, -48]
2019	11	29	17	16	58	Ekelunds46	K9us	Stripped Oak Log	45.0	45.0	1	world	[48, 63, -48]
2019	11	29	17	16	59	Ekelunds46	K9us	Stripped Oak Log	45.0	45.0	1	world	[48, 63, -48]
2019	11	29	17	17	00	Ekelunds46	K9us	Stripped Oak Log	45.0	45.0	1	world	[48, 63, -48]
2019	11	29	17	17	00	Ekelunds46	K9us	Stripped Oak Log	45.0	45.0	1	world	[48, 63, -48]
2019	11	29	17	17	01	Ekelunds46	K9us	Stripped Oak Log	45.0	45.0	1	world	[48, 63, -48]
2019	11	29	17	17	02	Ekelunds46	K9us	Stripped Oak Log	45.0	45.0	1	world	[48, 63, -48]
2019	11	29	17	17	02	Ekelunds46	K9us	Stripped Oak Log	45.0	45.0	1	world	[48, 63, -48]
2019	11	29	17	17	03	Ekelunds46	K9us	Stripped Oak Log	45.0	45.0	1	world	[48, 63, -48]
2019	11	29	17	17	04	Ekelunds46	K9us	Stripped Oak Log	45.0	45.0	1	world	[48, 63, -48]
