date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/02/23 19:02:38	EnDristON	K9us	Stripped Spruce Log	61.0	61.0	1	world	[84, 61, -48]
2019/02/23 19:02:41	EnDristON	K9us	Stripped Spruce Log	61.0	61.0	1	world	[84, 61, -48]
2019/02/23 19:02:42	EnDristON	K9us	Stripped Spruce Log	61.0	61.0	1	world	[84, 61, -48]
2019/03/28 19:08:36	frozenhammerz	K9us	Stripped Spruce Log	61.0	3904.0	64	world	[84, 61, -48]
2019/03/28 19:08:37	frozenhammerz	K9us	Stripped Spruce Log	61.0	3904.0	64	world	[84, 61, -48]
2019/03/28 19:08:38	frozenhammerz	K9us	Stripped Spruce Log	61.0	3904.0	64	world	[84, 61, -48]
2019/03/28 19:08:39	frozenhammerz	K9us	Stripped Spruce Log	61.0	3904.0	64	world	[84, 61, -48]
2019/03/28 19:08:39	frozenhammerz	K9us	Stripped Spruce Log	61.0	3904.0	64	world	[84, 61, -48]
2019/03/28 19:08:40	frozenhammerz	K9us	Stripped Spruce Log	61.0	3904.0	64	world	[84, 61, -48]
2019/05/03 06:55:22	frozenhammerz	K9us	Stripped Spruce Log	61.0	61.0	1	world	[84, 61, -48]
2019/05/03 06:55:23	frozenhammerz	K9us	Stripped Spruce Log	61.0	61.0	1	world	[84, 61, -48]
2019/05/03 06:55:23	frozenhammerz	K9us	Stripped Spruce Log	61.0	61.0	1	world	[84, 61, -48]
