year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	13	15	57	57	Vallenius	Remixster	Sugar	37.5	300.0	8	world	[58, 79, 26]
2019	02	13	15	57	58	Vallenius	Remixster	Sugar	37.5	300.0	8	world	[58, 79, 26]
2019	02	13	15	57	59	Vallenius	Remixster	Sugar	37.5	300.0	8	world	[58, 79, 26]
2019	02	13	15	58	00	Vallenius	Remixster	Sugar	37.5	300.0	8	world	[58, 79, 26]
2019	02	13	15	58	01	Vallenius	Remixster	Sugar	37.5	300.0	8	world	[58, 79, 26]
2019	02	13	15	58	01	Vallenius	Remixster	Sugar	37.5	300.0	8	world	[58, 79, 26]
2019	02	13	15	58	02	Vallenius	Remixster	Sugar	37.5	300.0	8	world	[58, 79, 26]
2019	02	13	15	58	02	Vallenius	Remixster	Sugar	37.5	150.0	4	world	[58, 79, 26]
2019	07	13	00	22	53	kuraudosukei	Remix_D_Miner	Sugar	37.5	2400.0	64	world	[58, 79, 26]
2019	09	01	10	03	58	Vivifoxx	AteUrC00ki35	Sugar	1.0	64.0	64	world	[-343, 70, 74]
2019	11	18	18	27	33	illdeletethis	Dioswilson	Sugar	0.4	0.4	1	world	[430, 80, 35]
2020	02	07	00	07	47	Pancen	Phantom_Ark	Sugar	3.0	3.0	1	world	[-177, 65, 338]
