year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	01	20	26	48	freakdown	Remixster	Terracotta	100.0	6400.0	64	world	[61, 72, 22]
2018	12	01	20	27	38	freakdown	Remixster	Terracotta	100.0	6400.0	64	world	[61, 72, 22]
2018	12	01	20	27	42	freakdown	Remixster	Terracotta	100.0	6400.0	64	world	[61, 72, 22]
2018	12	01	20	27	45	freakdown	Remixster	Terracotta	100.0	6400.0	64	world	[61, 72, 22]
2018	12	01	20	37	51	freakdown	Remixster	Terracotta	100.0	6400.0	64	world	[61, 72, 22]
2018	12	01	20	37	52	freakdown	Remixster	Terracotta	100.0	800.0	8	world	[61, 72, 22]
2018	12	01	20	37	54	freakdown	Remixster	Terracotta	100.0	6400.0	64	world	[61, 72, 22]
2018	12	01	20	37	55	freakdown	Remixster	Terracotta	100.0	6400.0	64	world	[61, 72, 22]
2018	12	12	18	26	31	freakdown	Remixster	Terracotta	100.0	6400.0	64	world	[61, 72, 22]
2018	12	12	18	26	34	freakdown	Remixster	Terracotta	100.0	6400.0	64	world	[61, 72, 22]
2018	12	12	18	26	34	freakdown	Remixster	Terracotta	100.0	6400.0	64	world	[61, 72, 22]
2018	12	12	18	26	35	freakdown	Remixster	Terracotta	100.0	6400.0	64	world	[61, 72, 22]
2019	01	06	21	29	14	__Wildfire_	K9us	Terracotta	70.0	4480.0	64	world	[-1869, 22, 1572]
2019	01	06	21	29	17	__Wildfire_	K9us	Terracotta	70.0	4480.0	64	world	[-1869, 22, 1572]
2019	01	06	21	29	17	__Wildfire_	K9us	Terracotta	70.0	4480.0	64	world	[-1869, 22, 1572]
2019	01	06	21	29	18	__Wildfire_	K9us	Terracotta	70.0	4480.0	64	world	[-1869, 22, 1572]
2019	01	06	21	29	19	__Wildfire_	K9us	Terracotta	70.0	4480.0	64	world	[-1869, 22, 1572]
2019	01	06	21	29	19	__Wildfire_	K9us	Terracotta	70.0	4480.0	64	world	[-1869, 22, 1572]
2019	01	06	21	29	20	__Wildfire_	K9us	Terracotta	70.0	4480.0	64	world	[-1869, 22, 1572]
2019	01	06	21	29	20	__Wildfire_	K9us	Terracotta	70.0	4480.0	64	world	[-1869, 22, 1572]
2019	01	06	21	29	22	__Wildfire_	K9us	Terracotta	70.0	4480.0	64	world	[-1869, 22, 1572]
2019	01	30	16	23	13	Mr_Digs	Aewheros	Terracotta	40.0	40.0	1	world	[112, 73, -40]
2019	01	30	16	23	15	Mr_Digs	Aewheros	Terracotta	40.0	40.0	1	world	[112, 73, -40]
2019	01	30	16	23	16	Mr_Digs	Aewheros	Terracotta	40.0	40.0	1	world	[112, 73, -40]
2019	01	30	16	23	16	Mr_Digs	Aewheros	Terracotta	40.0	40.0	1	world	[112, 73, -40]
2019	01	30	16	23	17	Mr_Digs	Aewheros	Terracotta	40.0	40.0	1	world	[112, 73, -40]
2019	01	30	16	23	18	Mr_Digs	Aewheros	Terracotta	40.0	40.0	1	world	[112, 73, -40]
2019	01	30	16	23	18	Mr_Digs	Aewheros	Terracotta	40.0	40.0	1	world	[112, 73, -40]
2019	01	30	16	23	19	Mr_Digs	Aewheros	Terracotta	40.0	40.0	1	world	[112, 73, -40]
2019	01	30	16	23	19	Mr_Digs	Aewheros	Terracotta	40.0	40.0	1	world	[112, 73, -40]
2019	01	30	16	23	20	Mr_Digs	Aewheros	Terracotta	40.0	40.0	1	world	[112, 73, -40]
