year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	25	15	34	57	K9us	AteUrC00ki35	Tnt	250.0	250.0	1	world	[-346, 72, 79]
2018	12	02	21	15	06	freakdown	Captain_Handsome	Tnt	50.0	900.0	18	world	[22, 70, -47]
2019	01	22	15	22	12	Stormrunners	AteUrC00ki35	Tnt	250.0	250.0	1	world	[-346, 72, 79]
2019	05	24	09	32	44	freakdown	EnDristON	Tnt	200.0	200.0	1	world	[12, 59, 168]
2019	05	26	17	15	54	daboogaoogaman	EnDristON	Tnt	200.0	12800.0	64	world	[12, 59, 168]
2019	05	26	17	15	57	daboogaoogaman	EnDristON	Tnt	200.0	12800.0	64	world	[12, 59, 168]
2019	05	26	17	15	58	daboogaoogaman	EnDristON	Tnt	200.0	12800.0	64	world	[12, 59, 168]
2019	06	04	20	36	52	frozenhammerz	EnDristON	Tnt	200.0	12800.0	64	world	[12, 59, 168]
2019	06	04	20	36	53	frozenhammerz	EnDristON	Tnt	200.0	12800.0	64	world	[12, 59, 168]
2019	06	04	20	36	54	frozenhammerz	EnDristON	Tnt	200.0	12800.0	64	world	[12, 59, 168]
2019	06	08	17	59	03	daboogaoogaman	EnDristON	Tnt	200.0	12800.0	64	world	[12, 59, 168]
2019	06	11	11	36	43	daboogaoogaman	EnDristON	Tnt	200.0	12800.0	64	world	[12, 59, 168]
2019	06	11	11	36	53	daboogaoogaman	EnDristON	Tnt	200.0	12800.0	64	world	[12, 59, 168]
