year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	16	15	54	49	Char1348294	K9us	Tripwire Hook	0.5	0.5	1	world	[61, 70, -22]
2018	09	16	15	54	50	Char1348294	K9us	Tripwire Hook	0.5	0.5	1	world	[61, 70, -22]
2018	10	02	22	40	45	NullCase	K9us	Tripwire Hook	1.0	1.0	1	world	[61, 70, -22]
2018	10	02	22	41	58	NullCase	K9us	Tripwire Hook	1.0	1.0	1	world	[61, 70, -22]
2018	10	04	10	50	23	Vrael1	K9us	Tripwire Hook	1.0	1.0	1	world	[61, 70, -22]
2018	10	04	10	50	24	Vrael1	K9us	Tripwire Hook	1.0	1.0	1	world	[61, 70, -22]
2018	10	31	18	41	08	ersi	K9us	Tripwire Hook	1.0	1.0	1	world	[61, 70, -22]
2018	10	31	18	41	14	ersi	K9us	Tripwire Hook	1.0	64.0	64	world	[61, 70, -22]
2018	11	22	13	10	58	Remixster	K9us	Tripwire Hook	10.0	100.0	10	world	[33, 72, -28]
2019	01	28	15	25	23	Nocturna12	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[11, 59, 18]
2019	02	25	08	08	02	EnDristON	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	03	14	03	17	16	dandenoth	K9us	Tripwire Hook	21.0	21.0	1	world	[58, 62, -32]
2019	03	14	03	17	19	dandenoth	K9us	Tripwire Hook	21.0	21.0	1	world	[58, 62, -32]
2019	03	14	03	17	22	dandenoth	K9us	Tripwire Hook	21.0	21.0	1	world	[58, 62, -32]
2019	03	14	09	35	15	frozenhammerz	K9us	Tripwire Hook	21.0	21.0	1	world	[58, 62, -32]
2019	03	14	09	35	15	frozenhammerz	K9us	Tripwire Hook	21.0	21.0	1	world	[58, 62, -32]
2019	03	14	09	35	16	frozenhammerz	K9us	Tripwire Hook	21.0	21.0	1	world	[58, 62, -32]
2019	03	14	09	35	17	frozenhammerz	K9us	Tripwire Hook	21.0	21.0	1	world	[58, 62, -32]
2019	04	07	19	02	10	frozenhammerz	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	04	07	19	02	13	frozenhammerz	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	05	03	06	59	26	frozenhammerz	K9us	Tripwire Hook	21.0	21.0	1	world	[58, 62, -32]
2019	05	03	06	59	27	frozenhammerz	K9us	Tripwire Hook	21.0	21.0	1	world	[58, 62, -32]
2019	05	03	06	59	28	frozenhammerz	K9us	Tripwire Hook	21.0	21.0	1	world	[58, 62, -32]
2019	08	20	22	14	09	daboogaoogaman	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	08	20	23	59	58	daboogaoogaman	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	09	21	04	14	38	Thoreu	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	09	21	04	14	39	Thoreu	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	09	21	04	14	39	Thoreu	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	09	21	04	14	40	Thoreu	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	09	21	04	14	40	Thoreu	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	09	21	04	14	43	Thoreu	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	09	21	04	14	44	Thoreu	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	09	21	04	14	44	Thoreu	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	09	21	04	14	45	Thoreu	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	09	21	04	14	46	Thoreu	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
2019	11	03	21	36	38	daboogaoogaman	Remix_D_Miner	Tripwire Hook	0.9375	30.0	32	world	[93, 72, 26]
2019	12	06	14	12	37	daboogaoogaman	sharonclaws	Tripwire Hook	1.0	2.0	2	world	[-14, 57, 12]
