date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/03/14 09:56:54	frozenhammerz	Aewheros	Tube Coral Block	1000.0	1000.0	1	world	[107, 49, -59]
2019/03/14 09:56:55	frozenhammerz	Aewheros	Tube Coral Block	1000.0	1000.0	1	world	[107, 49, -59]
2019/03/14 09:56:56	frozenhammerz	Aewheros	Tube Coral Block	1000.0	1000.0	1	world	[107, 49, -59]
2019/03/14 09:56:58	frozenhammerz	Aewheros	Tube Coral Block	1000.0	1000.0	1	world	[107, 49, -59]
2019/03/14 10:23:35	frozenhammerz	Aewheros	Tube Coral Block	1000.0	1000.0	1	world	[107, 49, -59]
2019/03/14 10:23:35	frozenhammerz	Aewheros	Tube Coral Block	1000.0	1000.0	1	world	[107, 49, -59]
2019/04/07 18:11:36	frozenhammerz	Aewheros	Tube Coral Block	1000.0	64000.0	64	world	[107, 49, -59]
2019/05/03 07:31:41	frozenhammerz	Aewheros	Tube Coral Block	1000.0	1000.0	1	world	[107, 49, -59]
2019/05/03 07:31:41	frozenhammerz	Aewheros	Tube Coral Block	1000.0	1000.0	1	world	[107, 49, -59]
2019/05/03 07:31:42	frozenhammerz	Aewheros	Tube Coral Block	1000.0	1000.0	1	world	[107, 49, -59]
2019/05/31 12:32:17	K9us	Aewheros	Tube Coral Block	1000.0	1000.0	1	world	[107, 49, -59]
2019/05/31 12:35:27	K9us	Aewheros	Tube Coral Block	1000.0	1000.0	1	world	[107, 49, -59]
