year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	02	15	53	35	nilssssss	Aewheros	Tube Coral Fan	500.0	500.0	1	world	[105, 51, -60]
2019	02	07	23	45	03	nilssssss	Aewheros	Tube Coral Fan	500.0	500.0	1	world	[105, 51, -60]
2019	02	07	23	45	03	nilssssss	Aewheros	Tube Coral Fan	500.0	500.0	1	world	[105, 51, -60]
2019	02	12	08	50	28	Dioswilson	Aewheros	Tube Coral Fan	500.0	500.0	1	world	[105, 51, -60]
2019	02	12	09	05	02	Dioswilson	Aewheros	Tube Coral Fan	500.0	500.0	1	world	[105, 51, -60]
2019	02	17	07	44	08	NorraLigan	Aewheros	Tube Coral Fan	500.0	500.0	1	world	[105, 51, -60]
2019	02	17	07	44	09	NorraLigan	Aewheros	Tube Coral Fan	500.0	500.0	1	world	[105, 51, -60]
2019	02	17	07	44	09	NorraLigan	Aewheros	Tube Coral Fan	500.0	500.0	1	world	[105, 51, -60]
2019	02	17	07	44	10	NorraLigan	Aewheros	Tube Coral Fan	500.0	500.0	1	world	[105, 51, -60]
2019	02	17	07	44	47	NorraLigan	Aewheros	Tube Coral Fan	500.0	32000.0	64	world	[105, 51, -60]
2019	03	14	10	23	21	frozenhammerz	Aewheros	Tube Coral Fan	500.0	500.0	1	world	[105, 51, -60]
2019	05	03	07	31	37	frozenhammerz	Aewheros	Tube Coral Fan	500.0	500.0	1	world	[105, 51, -60]
2019	05	03	07	31	38	frozenhammerz	Aewheros	Tube Coral Fan	500.0	500.0	1	world	[105, 51, -60]
2019	05	03	07	31	39	frozenhammerz	Aewheros	Tube Coral Fan	500.0	500.0	1	world	[105, 51, -60]
