year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	02	15	53	36	nilssssss	Aewheros	Tube Coral	500.0	500.0	1	world	[105, 51, -61]
2019	02	07	23	45	04	nilssssss	Aewheros	Tube Coral	500.0	500.0	1	world	[105, 51, -61]
2019	02	07	23	45	05	nilssssss	Aewheros	Tube Coral	500.0	500.0	1	world	[105, 51, -61]
2019	02	17	07	44	03	NorraLigan	Aewheros	Tube Coral	500.0	500.0	1	world	[105, 51, -61]
2019	02	17	07	44	04	NorraLigan	Aewheros	Tube Coral	500.0	500.0	1	world	[105, 51, -61]
2019	02	17	07	44	05	NorraLigan	Aewheros	Tube Coral	500.0	500.0	1	world	[105, 51, -61]
2019	02	17	07	44	33	NorraLigan	Aewheros	Tube Coral	500.0	500.0	1	world	[105, 51, -61]
2019	02	17	07	44	33	NorraLigan	Aewheros	Tube Coral	500.0	500.0	1	world	[105, 51, -61]
2019	02	17	07	44	34	NorraLigan	Aewheros	Tube Coral	500.0	500.0	1	world	[105, 51, -61]
2019	02	17	07	44	44	NorraLigan	Aewheros	Tube Coral	500.0	15000.0	30	world	[105, 51, -61]
2019	03	14	10	23	22	frozenhammerz	Aewheros	Tube Coral	500.0	500.0	1	world	[105, 51, -61]
2019	05	03	07	31	35	frozenhammerz	Aewheros	Tube Coral	500.0	500.0	1	world	[105, 51, -61]
2019	05	03	07	31	36	frozenhammerz	Aewheros	Tube Coral	500.0	500.0	1	world	[105, 51, -61]
2019	05	03	07	31	37	frozenhammerz	Aewheros	Tube Coral	500.0	500.0	1	world	[105, 51, -61]
2019	12	06	17	51	45	colmustard	Aewheros	Tube Coral	500.0	500.0	1	world	[105, 51, -61]
2020	01	26	19	09	50	Haksndot	Aewheros	Tube Coral	500.0	32000.0	64	world	[105, 51, -61]
