date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/09 23:06:17	PizzaJon	AteUrC00ki35	Turtle Helmet	5000.0	5000.0	1	world	[-350, 72, 83]
2018/10/10 15:02:57	Mr_Digs	AteUrC00ki35	Turtle Helmet	5000.0	5000.0	1	world	[-350, 72, 83]
2018/10/20 23:42:17	pudzo	AteUrC00ki35	Turtle Helmet	5000.0	5000.0	1	world	[-350, 72, 83]
2018/10/31 18:41:39	Stormrunners	AteUrC00ki35	Turtle Helmet	5000.0	5000.0	1	world	[-350, 72, 83]
2018/11/03 06:27:16	K9us	AteUrC00ki35	Turtle Helmet	5000.0	5000.0	1	world	[-350, 72, 83]
2018/11/03 06:27:36	K9us	AteUrC00ki35	Turtle Helmet	5000.0	5000.0	1	world	[-350, 72, 83]
2018/11/03 06:27:38	K9us	AteUrC00ki35	Turtle Helmet	5000.0	5000.0	1	world	[-350, 72, 83]
2018/11/03 06:27:39	K9us	AteUrC00ki35	Turtle Helmet	5000.0	5000.0	1	world	[-350, 72, 83]
2018/11/03 06:27:39	K9us	AteUrC00ki35	Turtle Helmet	5000.0	5000.0	1	world	[-350, 72, 83]
2018/11/09 13:09:08	Aewheros	AteUrC00ki35	Turtle Helmet	5000.0	5000.0	1	world	[-350, 72, 83]
2018/12/07 06:06:59	freakdown	AteUrC00ki35	Turtle Helmet	5000.0	5000.0	1	world	[-350, 72, 83]
2018/12/27 16:24:44	NorraLigan	K9us	Turtle Helmet	15000.0	15000.0	1	world	[-1961, 65, 1573]
2019/02/26 21:59:37	BelegStrongbow	AteUrC00ki35	Turtle Helmet	5000.0	5000.0	1	world	[-350, 72, 83]
2019/02/26 21:59:38	BelegStrongbow	AteUrC00ki35	Turtle Helmet	5000.0	5000.0	1	world	[-350, 72, 83]
2019/02/26 21:59:39	BelegStrongbow	AteUrC00ki35	Turtle Helmet	5000.0	5000.0	1	world	[-350, 72, 83]
2019/03/13 13:39:55	Miljanee	K9us	Turtle Helmet	15000.0	15000.0	1	world	[-1961, 65, 1573]
2019/03/29 18:14:55	dandenoth	K9us	Turtle Helmet	15000.0	15000.0	1	world	[-1961, 65, 1573]
2019/04/10 22:54:32	daboogaoogaman	K9us	Turtle Helmet	15000.0	15000.0	1	world	[-1961, 65, 1573]
