year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	07	19	30	23	nilssssss	sharonclaws	Vine	20.0	1280.0	64	world	[-4, 59, 22]
2019	02	09	19	06	08	__Wildfire_	sharonclaws	Vine	20.0	1280.0	64	world	[-4, 59, 22]
2019	02	09	19	06	09	__Wildfire_	sharonclaws	Vine	20.0	1280.0	64	world	[-4, 59, 22]
2019	02	09	19	06	10	__Wildfire_	sharonclaws	Vine	20.0	1000.0	50	world	[-4, 59, 22]
2019	02	15	23	06	24	coconewell92	sharonclaws	Vine	20.0	20.0	1	world	[-4, 59, 22]
2019	02	15	23	06	26	coconewell92	sharonclaws	Vine	20.0	1280.0	64	world	[-4, 59, 22]
2019	02	26	15	32	51	BelegStrongbow	sharonclaws	Vine	20.0	1280.0	64	world	[-4, 59, 22]
2019	02	26	15	32	52	BelegStrongbow	sharonclaws	Vine	20.0	1280.0	64	world	[-4, 59, 22]
2019	02	26	15	32	53	BelegStrongbow	sharonclaws	Vine	20.0	1280.0	64	world	[-4, 59, 22]
2019	02	26	15	32	54	BelegStrongbow	sharonclaws	Vine	20.0	740.0	37	world	[-4, 59, 22]
2019	03	03	13	36	23	EnDristON	sharonclaws	Vine	20.0	20.0	1	world	[-4, 59, 22]
2019	03	03	13	36	23	EnDristON	sharonclaws	Vine	20.0	20.0	1	world	[-4, 59, 22]
2019	03	03	13	36	24	EnDristON	sharonclaws	Vine	20.0	20.0	1	world	[-4, 59, 22]
2019	03	03	13	36	25	EnDristON	sharonclaws	Vine	20.0	20.0	1	world	[-4, 59, 22]
2019	03	03	13	36	25	EnDristON	sharonclaws	Vine	20.0	20.0	1	world	[-4, 59, 22]
2019	03	03	13	36	26	EnDristON	sharonclaws	Vine	20.0	20.0	1	world	[-4, 59, 22]
2019	03	03	13	36	27	EnDristON	sharonclaws	Vine	20.0	20.0	1	world	[-4, 59, 22]
2019	03	16	22	59	12	__Wildfire_	sharonclaws	Vine	20.0	1000.0	50	world	[-4, 59, 22]
2019	04	07	19	02	21	frozenhammerz	sharonclaws	Vine	20.0	20.0	1	world	[-4, 59, 22]
2019	04	07	19	02	23	frozenhammerz	sharonclaws	Vine	20.0	1280.0	64	world	[-4, 59, 22]
2019	04	11	00	04	58	daboogaoogaman	sharonclaws	Vine	20.0	400.0	20	world	[-4, 59, 22]
2019	04	16	02	07	45	__Wildfire_	sharonclaws	Vine	40.0	1040.0	26	world	[-4, 59, 22]
2019	05	22	04	30	21	__Wildfire_	sharonclaws	Vine	40.0	960.0	24	world	[-4, 59, 22]
2019	08	27	13	28	52	NullCase	__Wildfire_	Vine	75.0	4800.0	64	world	[0, 64, -24]
2019	08	31	13	58	36	Vivifoxx	__Wildfire_	Vine	75.0	75.0	1	world	[0, 64, -24]
2019	09	14	19	18	17	Thoreu	__Wildfire_	Vine	75.0	75.0	1	world	[0, 64, -24]
2019	11	16	15	11	29	mendor77	__Wildfire_	Vine	75.0	75.0	1	world	[0, 64, -24]
2019	12	30	02	11	59	freakdown	__Wildfire_	Vine	75.0	75.0	1	world	[0, 64, -24]
2020	01	10	15	48	42	Haksndot	Vallenius	Vine	10.0	390.0	39	world	[-4, 59, 22]
2020	03	03	19	17	19	VeillofSorrow	EnDristON	Vine	5.0	5.0	1	world	[-252, 74, -450]
2020	03	03	19	17	19	VeillofSorrow	EnDristON	Vine	5.0	5.0	1	world	[-252, 74, -450]
2020	03	03	19	17	20	VeillofSorrow	EnDristON	Vine	5.0	5.0	1	world	[-252, 74, -450]
2020	03	03	19	17	21	VeillofSorrow	EnDristON	Vine	5.0	5.0	1	world	[-252, 74, -450]
