year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	01	00	05	55	NullCase	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	01	00	06	46	NullCase	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	01	00	22	00	LightsChaos	Remixster	Wheat	2.5	35.0	14	world	[46, 71, 6]
2018	09	01	10	04	17	NullCase	__Wildfire_	Wheat	1.25	80.0	64	world	[31, 70, 5]
2018	09	02	15	55	37	Baskerboss	__Wildfire_	Wheat	1.25	80.0	64	world	[31, 70, 5]
2018	09	04	14	51	14	Mr_Digs	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	04	15	19	41	NullCase	Remixster	Wheat	2.5	160.0	64	world	[46, 71, 6]
2018	09	04	15	19	42	NullCase	Remixster	Wheat	2.5	160.0	64	world	[46, 71, 6]
2018	09	04	15	19	42	NullCase	Remixster	Wheat	2.5	20.0	8	world	[46, 71, 6]
2018	09	04	15	20	04	NullCase	LightsChaos	Wheat	2.8125	180.0	64	world	[28, 69, 36]
2018	09	04	15	20	10	NullCase	LightsChaos	Wheat	2.8125	180.0	64	world	[28, 69, 36]
2018	09	04	15	20	11	NullCase	LightsChaos	Wheat	2.8125	180.0	64	world	[28, 69, 36]
2018	09	05	16	35	18	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	20	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	21	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	21	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	22	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	23	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	23	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	24	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	24	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	25	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	26	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	26	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	27	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	28	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	29	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	30	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	30	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	31	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	32	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	33	sharonclaws	LightsChaos	Wheat	2.8125	90.0	32	world	[28, 69, 36]
2018	09	05	16	35	34	sharonclaws	LightsChaos	Wheat	2.8126315789473684	53.44	19	world	[28, 69, 36]
2018	09	05	23	25	24	sharonclaws	LightsChaos	Wheat	2.8125	180.0	64	world	[28, 69, 36]
2018	09	05	23	25	24	sharonclaws	LightsChaos	Wheat	2.8125	123.75	44	world	[28, 69, 36]
2018	09	05	23	35	44	sharonclaws	Remixster	Wheat	2.5	40.0	16	world	[46, 71, 6]
2018	09	06	13	01	33	spfoia	Remixster	Wheat	2.5	40.0	16	world	[46, 71, 6]
2018	09	06	13	01	34	spfoia	Remixster	Wheat	2.5	22.5	9	world	[46, 71, 6]
2018	09	06	23	57	48	__Wildfire_	LightsChaos	Wheat	3.75	120.0	32	world	[24, 69, 38]
2018	09	07	01	01	48	sharonclaws	LightsChaos	Wheat	3.75	120.0	32	world	[24, 69, 38]
2018	09	07	01	01	49	sharonclaws	LightsChaos	Wheat	3.75	3.75	1	world	[24, 69, 38]
2018	09	07	17	59	29	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[24, 69, 39]
2018	09	07	17	59	30	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[24, 69, 39]
2018	09	07	17	59	30	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[24, 69, 39]
2018	09	07	17	59	31	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[24, 69, 39]
2018	09	07	17	59	32	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[24, 69, 39]
2018	09	07	17	59	32	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[24, 69, 39]
2018	09	07	17	59	33	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[24, 69, 39]
2018	09	07	17	59	34	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[24, 69, 39]
2018	09	08	00	54	05	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[24, 69, 39]
2018	09	08	00	54	06	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[24, 69, 39]
2018	09	08	00	54	07	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[24, 69, 39]
2018	09	08	00	54	07	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[24, 69, 39]
2018	09	08	00	54	08	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[24, 69, 39]
2018	09	08	00	54	08	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[24, 69, 39]
2018	09	08	12	58	13	spfoia	LightsChaos	Wheat	4.6875	150.0	32	world	[24, 69, 39]
2018	09	10	06	07	09	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	04	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	05	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	05	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	06	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	08	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	09	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	09	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	10	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	11	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	11	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	12	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	13	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	13	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	14	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	15	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	15	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	08	17	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	10	30	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	10	30	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	10	31	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	10	31	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	10	32	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	10	33	ersi	LightsChaos	Wheat	4.6875	150.0	32	world	[29, 75, 34]
2018	09	10	06	11	42	ersi	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	06	11	44	ersi	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	06	11	45	ersi	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	06	11	46	ersi	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	06	12	12	ersi	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	06	12	13	ersi	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	06	12	13	ersi	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	06	14	10	ersi	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	06	14	11	ersi	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	06	14	13	ersi	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	12	28	09	ersi	Remixster	Wheat	2.5	20.0	8	world	[46, 71, 6]
2018	09	10	18	02	10	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	18	02	11	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	18	02	11	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	18	02	12	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	18	02	12	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	18	02	13	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	10	18	02	13	sharonclaws	LightsChaos	Wheat	4.687619047619047	98.44	21	world	[29, 75, 34]
2018	09	12	00	52	06	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	00	52	07	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	00	52	08	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	00	52	08	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	00	52	09	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	00	52	09	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	00	52	10	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	00	52	10	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	00	53	20	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	00	53	21	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	00	53	21	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	00	53	22	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	00	53	23	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	00	53	23	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	00	53	24	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	14	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	14	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	15	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	16	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	16	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	17	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	18	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	19	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	19	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	20	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	20	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	21	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	22	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	23	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	12	19	22	23	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	13	20	25	16	sharonclaws	Remixster	Wheat	2.5	160.0	64	world	[46, 71, 6]
2018	09	13	20	25	17	sharonclaws	Remixster	Wheat	2.5	160.0	64	world	[46, 71, 6]
2018	09	13	20	25	18	sharonclaws	Remixster	Wheat	2.5	57.5	23	world	[46, 71, 6]
2018	09	13	20	27	00	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	13	20	27	00	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	13	20	27	01	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	13	20	27	01	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	13	20	27	02	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	13	20	27	02	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	13	20	27	03	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	13	20	27	04	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	13	20	27	04	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	13	20	27	05	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	13	20	27	06	sharonclaws	LightsChaos	Wheat	4.687560975609756	192.19	41	world	[29, 75, 34]
2018	09	14	23	47	26	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	14	23	47	27	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
2018	09	14	23	47	28	sharonclaws	LightsChaos	Wheat	4.6875	300.0	64	world	[29, 75, 34]
