year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	07	21	16	37	08	EnDristON	Colonel_Ruff	White Banner	10.0	10.0	1	world	[281, 81, 201]
2019	07	21	16	37	09	EnDristON	Colonel_Ruff	White Banner	10.0	10.0	1	world	[281, 81, 201]
2019	07	21	16	37	10	EnDristON	Colonel_Ruff	White Banner	10.0	10.0	1	world	[281, 81, 201]
2019	07	21	16	37	12	EnDristON	Colonel_Ruff	White Banner	10.0	10.0	1	world	[281, 81, 201]
2019	07	21	16	37	13	EnDristON	Colonel_Ruff	White Banner	10.0	10.0	1	world	[281, 81, 201]
2019	07	21	16	37	13	EnDristON	Colonel_Ruff	White Banner	10.0	10.0	1	world	[281, 81, 201]
2019	07	21	16	37	14	EnDristON	Colonel_Ruff	White Banner	10.0	10.0	1	world	[281, 81, 201]
2019	07	21	16	37	16	EnDristON	Colonel_Ruff	White Banner	10.0	10.0	1	world	[281, 81, 201]
2019	07	21	16	37	16	EnDristON	Colonel_Ruff	White Banner	10.0	10.0	1	world	[281, 81, 201]
2019	07	21	16	37	18	EnDristON	Colonel_Ruff	White Banner	10.0	10.0	1	world	[281, 81, 201]
2020	02	25	17	30	53	daboogaoogaman	Colonel_Ruff	White Banner	10.0	10.0	1	world	[281, 81, 201]
