date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/01/31 23:55:41	nilssssss	Aewheros	White Glazed Terracotta	60.0	60.0	1	world	[116, 66, -60]
2019/01/31 23:55:42	nilssssss	Aewheros	White Glazed Terracotta	60.0	60.0	1	world	[116, 66, -60]
2019/01/31 23:55:42	nilssssss	Aewheros	White Glazed Terracotta	60.0	60.0	1	world	[116, 66, -60]
2019/01/31 23:55:43	nilssssss	Aewheros	White Glazed Terracotta	60.0	60.0	1	world	[116, 66, -60]
2019/02/17 11:24:07	EnDristON	Aewheros	White Glazed Terracotta	60.0	60.0	1	world	[116, 66, -60]
2019/02/17 11:24:07	EnDristON	Aewheros	White Glazed Terracotta	60.0	60.0	1	world	[116, 66, -60]
2019/02/17 11:24:08	EnDristON	Aewheros	White Glazed Terracotta	60.0	60.0	1	world	[116, 66, -60]
2019/02/17 11:24:09	EnDristON	Aewheros	White Glazed Terracotta	60.0	60.0	1	world	[116, 66, -60]
2019/05/03 07:33:31	frozenhammerz	Aewheros	White Glazed Terracotta	60.0	60.0	1	world	[116, 66, -60]
2019/05/03 07:33:31	frozenhammerz	Aewheros	White Glazed Terracotta	60.0	60.0	1	world	[116, 66, -60]
2019/05/03 07:33:32	frozenhammerz	Aewheros	White Glazed Terracotta	60.0	60.0	1	world	[116, 66, -60]
2019/06/12 19:55:39	daboogaoogaman	Aewheros	White Glazed Terracotta	60.0	3840.0	64	world	[116, 66, -60]
2019/06/12 19:55:40	daboogaoogaman	Aewheros	White Glazed Terracotta	60.0	3840.0	64	world	[116, 66, -60]
2019/06/12 19:55:41	daboogaoogaman	Aewheros	White Glazed Terracotta	60.0	3840.0	64	world	[116, 66, -60]
2019/06/12 19:55:43	daboogaoogaman	Aewheros	White Glazed Terracotta	60.0	3840.0	64	world	[116, 66, -60]
2019/06/12 19:55:43	daboogaoogaman	Aewheros	White Glazed Terracotta	60.0	3840.0	64	world	[116, 66, -60]
