year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	30	18	32	19	Aewheros	freakdown	Wither Skeleton Skull	333333.3333333333	1000000.0	3	world	[-50, 47, 422]
2018	12	10	21	52	52	Cardano_ff	freakdown	Wither Skeleton Skull	62500.0	4000000.0	64	world	[-53, 47, 415]
2019	01	09	09	51	11	DIOSWILSON	freakdown	Wither Skeleton Skull	116666.66666666667	350000.0	3	world	[59, 70, -24]
2019	01	10	05	25	14	K9us	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	01	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	02	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	04	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	05	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	05	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	08	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	09	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	09	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	25	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	25	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	26	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	28	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	29	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	29	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	33	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	34	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	35	Aewheros	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	45	Mr_Digs	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	51	46	Mr_Digs	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
2019	01	10	10	55	33	Mr_Digs	freakdown	Wither Skeleton Skull	50000.0	50000.0	1	world	[-71, 65, 364]
