date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/11/04 14:41:39	Aewheros	K9us	Written Book#5e	1000.0	1000.0	1	world	[62, 70, -24]
2018/11/05 02:53:37	NullCase	K9us	Written Book#5e	1000.0	1000.0	1	world	[62, 70, -24]
2018/11/05 02:57:01	NullCase	K9us	Written Book#5e	1000.0	1000.0	1	world	[62, 70, -24]
2018/11/09 12:29:18	3thanat0r	K9us	Written Book#5e	1000.0	1000.0	1	world	[62, 70, -24]
2018/11/09 12:30:11	3thanat0r	K9us	Written Book#5e	1000.0	1000.0	1	world	[62, 70, -24]
2018/11/09 21:31:17	Shahayhay	K9us	Written Book#5e	1000.0	1000.0	1	world	[62, 70, -24]
2018/11/21 14:02:30	TheScrubJay	K9us	Written Book#5e	1000.0	1000.0	1	world	[62, 70, -24]
2018/11/21 14:02:31	TheScrubJay	K9us	Written Book#5e	1000.0	1000.0	1	world	[62, 70, -24]
2018/11/21 14:02:32	TheScrubJay	K9us	Written Book#5e	1000.0	1000.0	1	world	[62, 70, -24]
2018/11/21 14:02:34	TheScrubJay	K9us	Written Book#5e	1000.0	1000.0	1	world	[62, 70, -24]
