date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/11/25 15:21:27	rubez	K9us	Written Book#6V	500.0	500.0	1	world	[58, 80, -19]
2018/11/26 16:03:29	Aewheros	K9us	Written Book#6V	500.0	500.0	1	world	[58, 80, -19]
2018/11/27 11:12:44	3thanat0r	K9us	Written Book#6V	500.0	500.0	1	world	[58, 80, -19]
2018/11/29 05:40:02	freakdown	K9us	Written Book#6V	500.0	500.0	1	world	[58, 80, -19]
2018/11/29 19:04:04	freakdown	K9us	Written Book#6V	500.0	500.0	1	world	[58, 80, -19]
2018/11/30 13:46:27	Aewheros	K9us	Written Book#6V	500.0	500.0	1	world	[58, 80, -19]
2018/12/01 16:20:23	Aewheros	K9us	Written Book#6V	500.0	500.0	1	world	[58, 80, -19]
2018/12/01 16:20:53	Aewheros	K9us	Written Book#6V	500.0	500.0	1	world	[58, 80, -19]
2018/12/03 16:07:15	G4t1t4M1m0s4	K9us	Written Book#6V	500.0	500.0	1	world	[58, 80, -19]
2018/12/07 13:27:45	Stormrunners	K9us	Written Book#6V	500.0	500.0	1	world	[58, 80, -19]
2018/12/11 17:05:03	Aesop	K9us	Written Book#6V	500.0	500.0	1	world	[58, 80, -19]
2018/12/16 18:09:04	Aewheros	K9us	Written Book#6V	500.0	500.0	1	world	[58, 80, -19]
2019/03/28 23:49:15	ezrone	K9us	Written Book#6V	1000.0	1000.0	1	world	[59, 80, -16]
2019/04/06 15:54:02	Cesium_Knight	K9us	Written Book#6V	1000.0	1000.0	1	world	[59, 80, -16]
