year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	28	17	55	05	Aewheros	K9us	Written Book#73	500.0	500.0	1	world	[62, 71, -5]
2018	11	29	23	09	54	freakdown	K9us	Written Book#73	500.0	500.0	1	world	[-1937, 63, 1559]
2018	12	01	22	34	39	Aewheros	K9us	Written Book#73	500.0	500.0	1	world	[62, 71, -5]
2018	12	04	03	31	49	freakdown	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2018	12	19	19	49	11	mendor77	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2018	12	22	20	41	14	intrepidca	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2018	12	29	12	27	34	NorraLigan	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2019	01	06	01	31	43	cmanley1981	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2019	01	07	09	09	31	NorraLigan	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2019	01	10	10	17	12	DIOSWILSON	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2019	01	26	22	35	54	Mr_Digs	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2019	01	31	04	39	17	jack30ice	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2019	02	02	16	23	42	Shahayhay	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2019	02	02	22	39	58	yoikosugi	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2019	02	03	16	17	29	beluaeomega	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2019	02	08	16	30	58	DIOSWILSON	K9us	Written Book#73	500.0	500.0	1	world	[-1937, 63, 1559]
2019	02	08	20	15	35	freakdown	K9us	Written Book#73	500.0	500.0	1	world	[-1937, 63, 1559]
2019	02	13	05	23	34	IviAc	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2019	02	16	19	25	01	Dioswilson	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2019	02	19	12	48	42	EnDristON	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2019	03	08	12	32	58	ezrone	K9us	Written Book#73	375.0	750.0	2	world	[68, 69, -16]
2019	03	16	20	27	36	Vivifoxx	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2019	04	03	01	17	24	dandenoth	K9us	Written Book#73	250.0	250.0	1	world	[68, 69, -16]
2019	08	23	11	55	23	AC391694	K9us	Written Book#73	500.0	500.0	1	world	[-1937, 63, 1559]
