year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	21	02	23	51	intrepidca	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2018	12	29	16	20	45	Aewheros	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	01	01	09	18	13	magemagemege	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	01	12	12	07	45	__Tilt	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	01	16	12	03	30	magemagemege	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	01	24	12	52	30	monkeyboy448	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	01	24	12	52	31	monkeyboy448	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	02	03	23	03	39	freakdown	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	02	03	23	09	41	freakdown	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	02	03	23	13	18	freakdown	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	02	03	23	30	06	freakdown	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	02	04	21	33	40	__Tilt	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	02	05	06	07	58	freakdown	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	02	06	19	29	07	Aewheros	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	02	14	08	02	21	monkeyboy448	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	02	15	12	27	20	EnDristON	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	02	16	11	34	05	BelegStrongbow	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	02	19	14	32	17	Umby99	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	02	21	17	45	15	Lienholder	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	03	21	15	38	10	Vallenius	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	03	25	04	13	44	Magnavox	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	03	29	23	09	19	ezrone	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
2019	04	11	20	18	21	daboogaoogaman	K9us	Written Book#7h	100.0	100.0	1	world	[59, 80, -19]
