year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	12	21	15	15	55	mendor77	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2019	12	26	16	07	19	Vivifoxx	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	01	11	10	13	07	jtl0350	Vallenius	Yellow Dye	80.0	5120.0	64	world	[-10, 59, 22]
2020	01	18	10	41	48	Downhilldriver	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	01	18	10	41	49	Downhilldriver	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	01	18	10	41	49	Downhilldriver	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	01	18	10	41	50	Downhilldriver	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	01	18	10	42	03	Downhilldriver	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	01	18	10	42	05	Downhilldriver	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	01	18	10	42	06	Downhilldriver	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	01	18	10	42	06	Downhilldriver	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	01	18	10	42	07	Downhilldriver	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	01	18	10	42	08	Downhilldriver	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	02	25	17	32	32	daboogaoogaman	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	02	25	17	32	33	daboogaoogaman	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	02	25	17	32	34	daboogaoogaman	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	02	25	17	32	35	daboogaoogaman	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	02	25	17	32	35	daboogaoogaman	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	02	25	17	32	36	daboogaoogaman	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	02	25	17	32	36	daboogaoogaman	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	02	25	17	32	37	daboogaoogaman	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	02	25	17	32	38	daboogaoogaman	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	02	27	19	13	54	Minarchu	Vallenius	Yellow Dye	80.0	5120.0	64	world	[-10, 59, 22]
2020	03	12	16	09	57	VeillofSorrow	Vallenius	Yellow Dye	80.0	80.0	1	world	[-10, 59, 22]
2020	03	12	16	10	00	VeillofSorrow	Vallenius	Yellow Dye	80.0	5120.0	64	world	[-10, 59, 22]
2020	03	12	18	06	10	VeillofSorrow	Vallenius	Yellow Dye	80.0	3360.0	42	world	[-10, 59, 22]
