date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/01/31 23:56:20	nilssssss	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/01/31 23:56:21	nilssssss	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/01/31 23:56:21	nilssssss	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/01/31 23:56:22	nilssssss	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/01 22:45:34	daboogaoogaman	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/01 22:45:35	daboogaoogaman	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/01 22:45:35	daboogaoogaman	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/01 22:45:36	daboogaoogaman	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/01 22:45:37	daboogaoogaman	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/01 22:45:37	daboogaoogaman	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/01 22:45:38	daboogaoogaman	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/01 22:45:38	daboogaoogaman	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/01 22:45:39	daboogaoogaman	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/01 22:45:40	daboogaoogaman	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/01 22:45:40	daboogaoogaman	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/01 22:45:41	daboogaoogaman	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/03 07:34:19	frozenhammerz	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/03 07:34:19	frozenhammerz	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
2019/05/03 07:34:20	frozenhammerz	Aewheros	Yellow Glazed Terracotta	60.0	60.0	1	world	[119, 66, -57]
