year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	04	07	13	27	17	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	04	07	13	27	18	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	04	07	13	27	18	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	04	16	20	20	19	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	04	29	19	49	44	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	1920.0	64	world	[259, 84, 126]
2019	04	29	20	02	31	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	1920.0	64	world	[259, 84, 126]
2019	04	29	20	52	09	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	1920.0	64	world	[259, 84, 126]
2019	05	10	20	31	23	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	05	10	20	31	23	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	05	10	20	31	24	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	05	10	20	31	25	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	05	10	20	31	25	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	05	10	20	31	26	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	05	10	20	31	26	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	05	10	20	31	27	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	05	10	20	31	27	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	05	10	20	31	28	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	05	10	20	31	30	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	05	10	20	31	30	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	05	10	20	31	31	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	30.0	1	world	[259, 84, 126]
2019	05	11	13	12	12	daboogaoogaman	EnDristON	Yellow Stained Glass	30.0	1800.0	60	world	[259, 84, 126]
